Season,Name,death,min,max,mean,multiply,multiply_death,death_prediction,death_prediction_probability
winter,CONTROL,False,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.3353262558367519
winter,CONTROL,True,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.3353262558367519
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.33584694249821057
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.33593674539542556
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.33593674539542556
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.338345469903882
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.338345469903882
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.338345469903882
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.338345469903882
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.338345469903882
winter,TINA,True,0.9862603,0.9925668,0.9916206,-0.2524740774020053,1.2524740774020053,False,0.3387204041055695
winter,TINA,True,0.9862603,0.9925595,0.9916123,-0.2527240248920671,1.252724024892067,False,0.33875542982174656
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.34001742629750054
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.34001742629750054
summer,TOKYO,False,0.9895557,0.9925111,0.99126947,-0.2630744044502164,1.2630744044502165,False,0.3402074593382156
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,1.2696833721405147,False,0.34113624701322487
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,1.2696833721405147,False,0.34113624701322487
summer,JADE,False,0.9885067,0.9919763,0.9910296,-0.2703374799519576,1.2703374799519576,False,0.3412282404252489
summer,JADE,True,0.9885067,0.9919763,0.9909847,-0.2716993439881007,1.2716993439881006,False,0.3414198119298488
summer,JADE,True,0.9885067,0.9919763,0.99098325,-0.271742307653455,1.2717423076534549,False,0.341425856438183
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.3418481503814476
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.3418481503814476
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.3418481503814476
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.3418481503814476
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.3418481503814476
