Season,Name,death_prediction,death_prediction_probability
winter,CONTROL,False,0.33574280516591887
winter,ELOANE,False,0.33593674539542556
winter,TINA,False,0.338737916963658
summer,TOKYO,False,0.34008077064440556
winter,VENICE,False,0.34113624701322487
summer,JADE,False,0.3413579695977602
winter,ELEONORA,False,0.34379529176911566
summer,ELOANE,False,0.34393290863835296
summer,CONTROL,False,0.34543563451337495
winter,TOKYO,False,0.34657481687766195
winter,GLORY,False,0.3512212506133917
winter,PISCES,False,0.35134907790027975
winter,ELPIDA,False,0.355218698344906
winter,MAYA,False,0.35615520635053355
winter,MOSCOW,False,0.3575403230462773
winter,NEVADA,False,0.3599920005532702
winter,SINGAPURA,False,0.36664790384750745
winter,VENUS,False,0.36822930901156553
winter,BRADY,False,0.37040710547778694
summer,PISCES,False,0.37208948585144724
summer,ELPIDA,False,0.3826100374559605
summer,VENICE,False,0.38640644869066537
summer,MOSCOW,False,0.38709606458057316
summer,GLORY,False,0.39194525385542317
summer,BRADY,False,0.39553699239677864
summer,NEVADA,False,0.3983083919514425
summer,SINGAPURA,False,0.400763604347953
summer,TINA,False,0.4054479502010593
summer,CHARLESTON,False,0.40697535945615443
summer,ELEONORA,False,0.41178205146760677
summer,MAYA,True,0.5562740131301293
winter,INGY,True,0.7734376670199566
summer,LEANNE,True,0.8483055251013981
summer,INGY,True,0.860730977278001
summer,VENUS,True,0.891404175592608
winter,GLOBE,True,0.9192025895755002
winter,FORSTER,True,0.9236189042963915
winter,ANNA,True,0.9242671646479478
summer,FORSTER,True,0.9367167371717153
summer,GLOBE,True,0.9392939502335137
summer,ANNA,True,0.9393483557736634
winter,ORPHEUS,True,0.9418977380510487
summer,ORPHEUS,True,0.9973946706313791
