,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_random_state,param_scale_pos_weight,param_subsample,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.01463613510131836,0.0006254684218919883,0.015294504165649415,0.0006446187526815572,dart,0.01,3,5,1,0,1.0,0.6,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 0.6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26752672621216905,0.33223823592916857,0.2165306924123434,0.14222390017873954,0.36354348078486004,0.26441260710345615,0.07957349010152351,48,0.2705862314980194,0.26957464860598357,0.300737901848019,0.3112069813620649,0.2628387698496552,0.2829889066327484,0.019241014806213347
1,0.01475539207458496,0.0006117200894371274,0.015677690505981445,0.0001691109552939391,dart,0.01,3,5,1,0,1.0,1.0,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816472728795301,0.4062733834212786,0.467008389383091,0.1497389202406324,0.4017537970504072,0.40128435259498785,0.14152783992579984,41,0.3226876093432668,0.3626312345660335,0.3863356438666347,0.5011956811581999,0.38427164337028613,0.39142436246088425,0.059465257586240446
2,0.017176103591918946,0.0024060864007688382,0.01627030372619629,0.002154322995962524,dart,0.01,3,5,1,0,39.28846153846154,0.6,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 39.28846153846154, 'subsample': 0.6}",0.3596767091120557,0.4871586708811059,0.1007853317841359,0.07715202079233285,0.18640379047014594,0.24223530460795523,0.1575802539765669,16,0.37761050266350227,0.47417658017792014,0.28019783398357734,0.19421163203528574,0.2438719218228585,0.31401369413662883,0.10011255548113938,0.34146341463414637,0.5,0.09433962264150944,0.07407407407407407,0.1414141414141414,0.23025825055277424,0.16485620767048034,15,0.3611111111111111,0.4842105263157895,0.19548872180451127,0.12139605462822459,0.17632241813602015,0.2677057663991313,0.1345894640122902,0.6145186033126909,0.4816336846197768,0.4280343183513916,0.2510962054512308,0.4755921306165002,0.450174988470318,0.11727495516045816,26,0.49435120805727284,0.5178891147790468,0.5499255288612201,0.5653205459366863,0.5354626316395589,0.532589805854757,0.02473209431519572
3,0.015336132049560547,0.0008372948701566809,0.016353130340576172,0.003029448185363876,dart,0.01,3,5,1,0,39.28846153846154,1.0,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 39.28846153846154, 'subsample': 1}",0.37275914246261094,0.26187825174009993,0.15282785189631637,0.10461982688135611,0.17993342438788518,0.2144036994736537,0.09419401572058203,21,0.3916804234846609,0.2617428633151925,0.29721922265141687,0.22681011831068712,0.17786588106351792,0.2710637017650951,0.07206052496713962,0.375,0.22950819672131148,0.125,0.0970873786407767,0.11464968152866242,0.18824905137815012,0.10421707557244393,20,0.3963963963963964,0.20905923344947736,0.2159090909090909,0.15789473684210525,0.11497730711043873,0.21884735294150173,0.09605447551157298,0.2538051192730619,0.35375027120850505,0.4377896494517398,0.26018923389035203,0.3857648844661832,0.33825983165796836,0.07159676678405481,44,0.2802787327249686,0.2682692642952068,0.49929833356884623,0.5265114943150053,0.47638469735890004,0.41014850445258544,0.11213487155039781
4,0.024289560317993165,0.004476710843447763,0.015095949172973633,0.0009479397858309901,dart,0.01,3,10,1,0,1.0,0.6,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 0.6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327583171050128,0.3963477326059824,0.34635490097407895,0.15958725985714226,0.40008205998868135,0.3270260541061795,0.08784632955956226,46,0.3151984109126703,0.3147723549372128,0.36300463701229846,0.4635268717014904,0.31672594940743937,0.3546456447942223,0.05746104963692749
5,0.020784330368041993,0.0005131421969239143,0.013712263107299805,0.002293509229234899,dart,0.01,3,10,1,0,1.0,1.0,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816472728795301,0.5120016802259792,0.4670083893830911,0.2814315145507678,0.42124832408319296,0.4526674362245123,0.10066867952991417,24,0.44033666083378165,0.4836459020108108,0.4700554954436291,0.5520783132034697,0.5200577654647259,0.4932348273912834,0.039011461838946035
6,0.019054937362670898,0.0015087222133369782,0.014860296249389648,0.0035588857200532487,dart,0.01,3,10,1,0,39.28846153846154,0.6,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 39.28846153846154, 'subsample': 0.6}",0.3997702182100804,0.31588623003852273,0.14261501596863713,0.18923579941061874,0.20841858824989096,0.25118517037555,0.0935071410097684,15,0.40037046595068604,0.26844645625775093,0.36093956744326655,0.35340867592887465,0.27347086629016126,0.33132720637414786,0.05183203592731445,0.3888888888888889,0.2711864406779661,0.14035087719298245,0.1724137931034483,0.16091954022988506,0.22675190801863415,0.09275181698200728,16,0.3829787234042553,0.23423423423423423,0.3137254901960784,0.2845849802371542,0.20055710306406685,0.2832161062271578,0.06343029355140872,0.6137800387738609,0.495049197354069,0.426454338692479,0.2715434176097299,0.4298193596097291,0.44732927040797366,0.11101898532379928,31,0.5329372816911101,0.5247555985273799,0.5859868177382093,0.5863150219040608,0.5602967331523062,0.5580582906026132,0.02578212755008337
7,0.01914496421813965,0.0012444086877139789,0.012451839447021485,0.0021662977195174,dart,0.01,3,10,1,0,39.28846153846154,1.0,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 39.28846153846154, 'subsample': 1}",0.2805208971495449,0.26187825174009993,0.17987426029472645,0.10461982688135611,0.17993342438788518,0.2013653320907225,0.06357405530121955,28,0.2836208645142762,0.2617428633151925,0.28203225118930214,0.22681011831068712,0.17786588106351792,0.2464143956785952,0.03992778837235953,0.25,0.22950819672131148,0.13592233009708737,0.0970873786407767,0.11464968152866242,0.16543351739756756,0.062254569879800076,27,0.23673469387755103,0.20905923344947736,0.20105820105820105,0.15789473684210525,0.11497730711043873,0.18394483446755466,0.04276797171918774,0.27676046777403074,0.3565312455084667,0.43947219212878696,0.26018923389035203,0.3857648844661832,0.3437436047535639,0.06717342878785391,43,0.30388617193621553,0.2713853962275894,0.5003985937414075,0.5265114943150053,0.4943671043169358,0.4193097521074307,0.10854071845403275
8,0.04549551010131836,0.0012100489504098953,0.016705894470214845,0.00044536561475821875,dart,0.01,3,20,1,0,1.0,0.6,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 20, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 0.6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912864385797942,0.4485265991151137,0.48260702555072776,0.2964170139549838,0.4181144957983193,0.4473903145997878,0.09549619201125666,30,0.34736991193527317,0.4398955032448156,0.42353780482317366,0.5386315708407067,0.38519398595287907,0.4269257553593696,0.06438719528309042
9,0.038852500915527347,0.005658344106406838,0.014701938629150391,0.0028172654000403847,dart,0.01,3,20,1,0,1.0,1.0,"{'booster': 'dart', 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 20, 'n_jobs': 1, 'random_state': 0, 'scale_pos_weight': 1, 'subsample': 1}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5829231899449209,0.513700296273195,0.4670083893830911,0.27802727274173195,0.4239985150686781,0.4531315326823234,0.10219320049241172,23,0.4425125298579824,0.4845861606677202,0.4700554954436291,0.5589876207233994,0.5190998475919545,0.4950483308569371,0.04040004321668212
