Season,Name,death,min,max,mean,multiply,death_prediction,death_prediction_probability
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
winter,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,CONTROL,False,1.0,1.0,1.0,3.000000248071115e-09,False,0.06535515995108822
summer,TOKYO,False,0.975,1.0,0.99875,-0.0378965871873197,False,0.07236803934321895
summer,TOKYO,False,0.975,1.0,0.99875,-0.0378965871873197,False,0.07236803934321895
summer,TOKYO,False,0.975,1.0,0.9979166666666668,-0.0632143951690455,False,0.07743330042900388
summer,MOSCOW,False,0.97,1.0,0.9966322751322751,-0.102279801788175,False,0.08588816711598989
