,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.013316631317138672,0.001109152873029343,0.009402036666870117,0.0004891034511048573,True,balanced,,1,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.3215398290909802,0.48487082036130197,0.28600267216302283,0.527468933943754,0.4155381238636987,0.4070840758845516,0.09229657315427761,245,0.7218278777718324,0.778420634206098,0.7859721514312717,0.6876862809924218,0.7342131556562616,0.7416240200115771,0.03654267484781737,0.33333333333333326,0.5,0.26666666666666666,0.5454545454545454,0.4347826086956522,0.4160474308300395,0.10324870624086387,248,0.7291666666666667,0.7735849056603774,0.7878787878787877,0.693069306930693,0.74,0.744739933427305,0.03354948713634411,0.29694872601447,0.475306700220195,0.22189653693271183,0.4642707350319807,0.3298611111111111,0.3576567618620937,0.09807848873301193,424,0.8255632467459033,0.861634855129392,0.8960770786718476,0.8281016514791282,0.8526600169881993,0.8528073698028941,0.025701473400111707
1,0.053237390518188474,0.0014533217508105926,0.01600041389465332,0.0026082052487618047,True,balanced,,1,2,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.35151586640713595,0.48487082036130197,0.38966654111519033,0.6277878942869879,0.43501714037252803,0.4577716525086288,0.09600651380740333,209,0.7575024594266804,0.7918777060197881,0.8092510622552872,0.7100911773197206,0.7482671366277459,0.7633979083298443,0.03469557534449317,0.3529411764705882,0.5,0.37499999999999994,0.631578947368421,0.45454545454545453,0.46281311567689276,0.09971570672929611,194,0.7599999999999999,0.7884615384615384,0.8124999999999999,0.7115384615384615,0.75,0.7645,0.03439063791690059,0.3731028449510472,0.4825416797735137,0.27768166089965396,0.5601371267461233,0.532070707070707,0.44510680388820906,0.10527280197034905,229,0.8884535997405862,0.9101371450422887,0.894264133639898,0.8444929505432089,0.8726069779820976,0.8819909613896157,0.022265507260246037
2,0.2742004871368408,0.022320097255142127,0.03620080947875977,0.0011658033537003682,True,balanced,,1,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.40733746725303954,0.48487082036130197,0.38966654111519033,0.5559876985254253,0.3980903545843898,0.4471905763678694,0.06413225599373164,214,0.7854203968085555,0.7985585151474599,0.825650161893782,0.7683645168821411,0.8019558931701652,0.7959898967804208,0.01895678339809971,0.4210526315789474,0.5,0.37499999999999994,0.5714285714285713,0.41666666666666663,0.45682957393483703,0.07012238416959578,203,0.7777777777777778,0.7924528301886793,0.8190476190476191,0.7543859649122806,0.7927927927927928,0.7872913969438299,0.021159583164858418,0.3920472895040369,0.47521575181114584,0.30040893362692667,0.5953126403344546,0.552523865023865,0.46310169606008583,0.10690226571407302,114,0.8961927092795737,0.9199706415528871,0.9037136373672023,0.8555674063179205,0.8945994316542445,0.8940087652343657,0.021218200389514868
3,0.01659984588623047,0.0004906219995177434,0.010000896453857423,9.584308262940304e-07,True,balanced,,1,5,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 0}",0.3384565075212557,0.4329627207325049,0.2246892928844614,0.46047704115784194,0.3679960256643841,0.36491631759208965,0.08262613324839421,260,0.694162465172151,0.7473606680050022,0.7305378094947375,0.6608600634350676,0.7012351555420394,0.7068312323297995,0.030032645781831263,0.36363636363636365,0.45454545454545453,0.23529411764705885,0.4799999999999999,0.38461538461538464,0.3836182640888523,0.0856976410130845,263,0.7,0.7387387387387387,0.7307692307692308,0.6605504587155963,0.7047619047619049,0.7069640665970941,0.027509585121793294,0.37227639718989197,0.49282551358675925,0.2564314728448924,0.5887139561707035,0.3036666666666667,0.4027828012917828,0.12235313201096792,361,0.8126105384197893,0.844027557702705,0.8477204902659528,0.803959093977306,0.8244163967966345,0.8265468154324775,0.017104762596111094
4,0.06319746971130372,0.013437697936989288,0.01680169105529785,0.004261943433363535,True,balanced,,1,5,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20, 'random_state': 0}",0.35151586640713595,0.48487082036130197,0.3215398290909802,0.6277878942869879,0.4155381238636987,0.44025050680202094,0.10930508438854034,217,0.7575024594266804,0.7918777060197881,0.7935240649741866,0.7100911773197206,0.7416775742112969,0.7589345963903344,0.031518931537250945,0.3529411764705882,0.5,0.33333333333333326,0.631578947368421,0.4347826086956522,0.4505272131735989,0.10838138188167375,208,0.7599999999999999,0.7884615384615384,0.7959183673469388,0.7115384615384615,0.742857142857143,0.7597551020408163,0.030797034501700942,0.3826186770757749,0.5020925787015753,0.28488490347223605,0.5860647008909382,0.5369152197877911,0.4585152159856631,0.10974715329251997,142,0.887066336401577,0.8893554741491547,0.888074654554606,0.8336829753300955,0.8670409474377142,0.8730440775746293,0.021325747754851358
5,0.26799931526184084,0.028747176892751813,0.03679990768432617,0.0014688670874067652,True,balanced,,1,5,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 0}",0.40733746725303954,0.48487082036130197,0.3215398290909802,0.5559876985254253,0.38233174527332997,0.4304135121008154,0.08177079395282358,220,0.7924262990923393,0.7985585151474599,0.825650161893782,0.7683645168821411,0.7956717446157404,0.7961342475262926,0.0182328659569902,0.4210526315789474,0.5,0.33333333333333326,0.5714285714285713,0.4,0.44516290726817037,0.08255540185635017,217,0.7818181818181819,0.7924528301886793,0.8190476190476191,0.7543859649122806,0.7857142857142858,0.7866837763362093,0.020729027195008885,0.37686561932414453,0.4847396115979962,0.30614506194286983,0.607049787778659,0.5416119415210624,0.4632824044329464,0.10901834138090706,112,0.8947853267378744,0.8867807192783103,0.9049531794369182,0.8297298531931897,0.8841969871955853,0.8800892131683756,0.026198884599307266
6,0.02359929084777832,0.012737409583314749,0.010000038146972656,1.0271386732357988e-06,True,balanced,,1,10,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.29202404762035294,0.3930664953485352,0.18688704021909117,0.4425713457238463,0.40801957301164377,0.3445137003846939,0.09338843526760013,291,0.620859421676145,0.7006843690527014,0.6502211064887435,0.611829881814737,0.6318645184695219,0.6430918595003698,0.03151307362414725,0.32,0.41666666666666663,0.2105263157894737,0.4615384615384615,0.41379310344827586,0.3645049094885755,0.08972823355585743,281,0.6153846153846154,0.689655172413793,0.6486486486486487,0.6050420168067226,0.6315789473684209,0.6380618801244402,0.029733972502037746,0.3700964171734523,0.449332674246169,0.2616923936607597,0.5448778497483903,0.3419229055258467,0.39358444807092363,0.09655431083378575,379,0.770326318496388,0.8075852018843649,0.816191998457014,0.7635702175512964,0.7793857083956011,0.7874118889569329,0.02078470035908356
7,0.06100015640258789,0.00777262228402371,0.01699986457824707,0.004647181648026311,True,balanced,,1,10,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.35151586640713595,0.4118276275423659,0.29711225373606537,0.5559876985254253,0.38233174527332997,0.3997550382968645,0.08685680353313592,249,0.7363891280085039,0.7319467869097821,0.7655765696552386,0.6719795200655668,0.6941083905100722,0.7200000790298328,0.033060232518742724,0.3529411764705882,0.43478260869565216,0.3157894736842105,0.5714285714285713,0.4,0.41498836605580436,0.08806846768163537,249,0.74,0.7289719626168225,0.7592592592592593,0.6728971962616822,0.6902654867256637,0.7182787809726856,0.03196807149565209,0.3938913509728621,0.46088601390128364,0.313636232098114,0.5812449578761986,0.5523156819026384,0.4603948473502194,0.09901033932338998,130,0.8689344587641831,0.8684630204056941,0.8737777161596978,0.8157345037306236,0.8546165821815219,0.856305256248344,0.021267028098931738
8,0.26019992828369143,0.015131522532655954,0.037799644470214847,0.003059891383622754,True,balanced,,1,10,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 0}",0.40733746725303954,0.48487082036130197,0.3215398290909802,0.527468933943754,0.3548723944574616,0.4192178890213075,0.07726718139565598,237,0.8285547831784922,0.831106858376151,0.7924262990923393,0.7515862414128925,0.7718312129364746,0.7951010789992699,0.03116969257515158,0.4210526315789474,0.5,0.33333333333333326,0.5454545454545454,0.37037037037037035,0.4340421761474393,0.0789027866452819,230,0.8282828282828282,0.8333333333333334,0.7818181818181819,0.735042735042735,0.7586206896551725,0.7874195536264502,0.03842385571422217,0.3876756477565179,0.45897015708465017,0.32035708428441995,0.6132892147326918,0.5442776246372848,0.46491394569911293,0.10508242809301409,98,0.8851069321186044,0.8779010202811766,0.897342985929956,0.8127711499147343,0.8770481839405886,0.870034054437012,0.029540131277650882
9,0.01640019416809082,0.0004894151829589159,0.009800481796264648,0.00039997166204694694,True,balanced,,2,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.3581053772522136,0.4329627207325049,0.18688704021909117,0.5024736171537473,0.3980903545843898,0.3757038219883893,0.10565207203663778,256,0.6813712053531192,0.7532995730555895,0.7180069913820123,0.63591939494534,0.6951110862641426,0.6967416502000408,0.03895964430312252,0.380952380952381,0.45454545454545453,0.2105263157894737,0.5217391304347826,0.41666666666666663,0.3968859896777516,0.10419981167605165,251,0.6862745098039216,0.7454545454545454,0.7169811320754716,0.6363636363636362,0.6981132075471698,0.6966374062489489,0.036164831560821974,0.36356427597777075,0.5082101289713746,0.23221518369472074,0.5419793585883551,0.34951599326599325,0.39909698809964295,0.11304108512239337,369,0.7915737961508258,0.8465990795780535,0.8568829582256634,0.778544829114878,0.823980004407395,0.8195161334953631,0.030361533892003755
