Season,Name,Replicate,death,min,max,mean,log_multiply
summer,GLORY,b,False,0.9737,0.9909,0.9801,-0.6047
summer,GLORY,c,False,0.9737,0.9909,0.98,-0.6067
summer,TOKYO,a,False,0.976,0.9943,0.9845,-0.4692
summer,TOKYO,b,False,0.976,0.9943,0.9853,-0.4442
summer,TOKYO,c,False,0.976,0.9943,0.9845,-0.4692
summer,CHARLESTON,a,True,0.9631,0.9925,0.9804,-0.5954
summer,CHARLESTON,b,False,0.9631,0.9925,0.9804,-0.5954
summer,CHARLESTON,c,False,0.8834,0.9925,0.9773,-0.6956
summer,CONTROL,a,False,0.9958,0.9963,0.9958,-0.1254
summer,CONTROL,b,False,0.9958,0.9963,0.9958,-0.1254
summer,CONTROL,c,False,0.9958,0.9963,0.9958,-0.1254
summer,CONTROL,d,False,0.9958,0.9963,0.9958,-0.1254
summer,CONTROL,e,False,0.9958,0.9963,0.9958,-0.1254
