Season,Name,Replicate,death,min,max,mean,log_multiply
winter,PISCES,a,True,0.9617760484643698,0.9884041845188982,0.9781320106889311,-0.6641442564971696
winter,PISCES,b,True,0.9617760484643698,0.9924103675066958,0.97861692576017,-0.6493114578388668
winter,PISCES,c,True,0.9617760484643698,0.9924103675066958,0.9781328353426921,-0.6641665246807159
winter,ELPIDA,a,True,0.9617760484643698,0.9924903074997689,0.9782594172200708,-0.6603518415359099
winter,ELPIDA,b,False,0.9617760484643698,0.9924903074997689,0.9779968849743825,-0.6684011804097073
winter,ELPIDA,c,True,0.9617760484643698,0.9924903074997689,0.9780640186579785,-0.6663511746387214
winter,BRADY,a,True,0.9736973271145706,0.9903485118365924,0.9808682576202593,-0.5798866497417816
winter,BRADY,b,True,0.9736973271145706,0.9903485118365924,0.9806881615973435,-0.5853870930123068
winter,BRADY,c,True,0.9736973271145706,0.9903485118365924,0.9806881615973435,-0.5853870930123068
winter,GLOBE,a,True,0.13448275862068965,0.9904885668557306,0.8778888901668256,-7.0966090465613
winter,GLOBE,b,True,0.13448275862068965,0.9904885668557306,0.8778888901668256,-7.0966090465613
winter,GLOBE,c,True,0.13448275862068965,0.9904885668557306,0.8778888901668256,-7.0966090465613
winter,VENUS,a,True,0.1939027231687782,0.9938097669060951,0.8753891311493024,-7.08127672361328
winter,VENUS,b,True,0.1939027231687782,0.9938097669060951,0.875144533765402,-7.088788932923516
winter,VENUS,c,True,0.1939027231687782,0.9899885274825515,0.875953244959889,-7.063995833405072
winter,GLORY,a,False,0.9617760484643698,0.9945043180076498,0.9799469678427297,-0.6084083528701592
winter,GLORY,b,False,0.9617760484643698,0.9945043180076498,0.9798278544103382,-0.6120892317418866
winter,CONTROL,a,False,0.9902942661708231,0.9908286173158611,0.9903120778756578,-0.2920547981633937
winter,CONTROL,b,False,0.9902942661708231,0.9908286173158611,0.9903120778756578,-0.2920547981633937
winter,ORPHEUS,a,True,0.13634920634920636,0.9861068815990659,0.6820738999484294,-17.477655517007335
winter,ORPHEUS,b,True,0.13634920634920636,0.9861068815990659,0.6820738999484294,-17.477655517007335
winter,TINA,a,True,0.9617760484643698,0.9945043180076498,0.9838647415179427,-0.48894892735611
winter,TINA,b,True,0.9617760484643698,0.9945043180076498,0.9845958876576771,-0.46645764819905017
winter,VENICE,a,False,0.9482960143382726,0.9925025773636115,0.9847442081962645,-0.46230995192039664
winter,VENICE,b,False,0.9482960143382726,0.9925025773636115,0.9847442081962645,-0.46230995192039664
winter,MAYA,a,True,0.5764130438005098,0.9925025773636115,0.9223436933147467,-2.8571178232146295
winter,MAYA,b,True,0.5764130438005098,0.9924903074997689,0.9224867232900973,-2.8527852624870014
winter,ELOANE,a,False,0.9721202433529795,0.9945043180076498,0.9880998246271652,-0.3596325975789826
winter,ELOANE,b,False,0.9721202433529795,0.9945043180076498,0.9880998246271652,-0.3596325975789826
winter,CONTROL,a,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,b,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,TOKYO,a,False,0.9742734792598506,0.9945043180076498,0.984325142546099,-0.4745628124747781
winter,TOKYO,b,False,0.9722681360497256,0.9945043180076498,0.9838787925007283,-0.4881882619530917
winter,TOKYO,c,False,0.9722681360497256,0.9945043180076498,0.9831526568745115,-0.5103899703637049
winter,MOSCOW,a,False,0.9736973271145706,0.9925025773636115,0.9824763043162227,-0.5310233258301658
winter,MOSCOW,b,True,0.9736973271145706,0.9924103675066958,0.9822656669860775,-0.5374034401758842
winter,MOSCOW,c,False,0.9736973271145706,0.9925025773636115,0.9824763043162227,-0.5310233258301658
winter,NEVADA,a,False,0.9447148788743075,0.9924903074997689,0.9788447325806071,-0.643658814292079
winter,NEVADA,b,True,0.9447148788743075,0.9924903074997689,0.9789585129108499,-0.6401422566950793
winter,NEVADA,c,True,0.9447148788743075,0.9945043180076498,0.9803264276213519,-0.5978837990239095
winter,CONTROL,a,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,b,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,c,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,d,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,e,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
winter,CONTROL,f,False,0.9958115075501335,0.9963458586951714,0.9958293192549681,-0.12538220487442145
