,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.0024016380310058595,0.0004902333441398499,0.006604719161987305,0.0010199453340969708,balanced,,1,2,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",0.08691824316249468,0.11774817578489345,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.133531703889459,0.06440321861670036,1,0.19333502390618446,0.17253230637605174,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18039805639057632,0.013909017831073425,0.11235955056179775,0.12,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.1330516292048121,0.037491586615944046,19,0.16574585635359118,0.14645308924485126,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16045527756949193,0.012833583201617045,0.1143618273879657,0.12949230502837433,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.14111391986323654,0.06532480167689425,35,0.18832351359114058,0.16744334757216936,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.1772629243798499,0.02567153293356453
1,0.003603410720825195,0.0004907191731838787,0.007801055908203125,0.0003991132141438134,balanced,,1,5,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 0}",0.08691824316249468,0.11774817578489345,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.133531703889459,0.06440321861670036,1,0.19333502390618446,0.17253230637605174,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18039805639057632,0.013909017831073425,0.11235955056179775,0.12,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.1330516292048121,0.037491586615944046,19,0.16574585635359118,0.14645308924485126,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16045527756949193,0.012833583201617045,0.1143618273879657,0.12949230502837433,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.14111391986323654,0.06532480167689425,35,0.18832351359114058,0.16744334757216936,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.1772629243798499,0.02567153293356453
2,0.003603553771972656,0.000489960159886949,0.007599639892578125,0.0004900185776278769,balanced,,1,10,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19333502390618446,0.17210112265397956,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18031181964616186,0.013958766330758892,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.16574585635359118,0.14611872146118723,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16038840401275914,0.012907032902794125,0.1143618273879657,0.15881695214876362,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.1469788492873144,0.06533451921551621,25,0.18832351359114058,0.16666726237751597,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.17710770734091924,0.02573270883034017
3,0.003020620346069336,0.0006307395408843868,0.007023143768310547,0.0015430164378712767,balanced,,2,2,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19333502390618446,0.17210112265397956,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18031181964616186,0.013958766330758892,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.16574585635359118,0.14611872146118723,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16038840401275914,0.012907032902794125,0.16840223142836974,0.15881695214876362,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.15778693009539518,0.06348860549204456,13,0.1654529232564354,0.16666726237751597,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.1725335892739782,0.025362525191696454
4,0.003254604339599609,0.0006358829808902289,0.006676244735717774,0.0010320675436960092,balanced,,2,5,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19333502390618446,0.17210112265397956,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18031181964616186,0.013958766330758892,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.16574585635359118,0.14611872146118723,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16038840401275914,0.012907032902794125,0.16840223142836974,0.15881695214876362,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.15778693009539518,0.06348860549204456,13,0.1654529232564354,0.16666726237751597,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.1725335892739782,0.025362525191696454
5,0.003739070892333984,0.0003903230183435641,0.007597684860229492,0.0005803859273412012,balanced,,2,10,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19333502390618446,0.17210112265397956,0.16883180715406082,0.20072184078088479,0.1665693037356997,0.18031181964616186,0.013958766330758892,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.16574585635359118,0.14611872146118723,0.14851485148514854,0.18181818181818182,0.15974440894568692,0.16038840401275914,0.012907032902794125,0.16840223142836974,0.15881695214876362,0.26034283386711465,0.06194618210665773,0.13942645092607034,0.15778693009539518,0.06348860549204456,13,0.1654529232564354,0.16666726237751597,0.13911336607972855,0.21739515981101415,0.17403923484519696,0.1725335892739782,0.025362525191696454
6,0.0032018184661865234,0.0007470317349054996,0.006441497802734375,0.0011609826882058745,balanced,,5,2,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19175500712726468,0.17210112265397956,0.16745829287812075,0.20072184078088479,0.16484925692231533,0.179377104072513,0.014246870378384617,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.1643835616438356,0.14611872146118723,0.14742014742014742,0.18181818181818182,0.15822784810126583,0.15959369208892354,0.013026943978528847,0.16840223142836974,0.15881695214876362,0.2608484461636057,0.06194618210665773,0.13942645092607034,0.1578880525546934,0.06365206470132341,1,0.16528821246412684,0.16666726237751597,0.138556997811978,0.21739515981101415,0.17349475404565312,0.1722804773020576,0.02551267161300308
7,0.0032321929931640623,0.0007182929309243647,0.006906986236572266,0.0006365377435097273,balanced,,5,5,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19175500712726468,0.17210112265397956,0.16745829287812075,0.20072184078088479,0.16484925692231533,0.179377104072513,0.014246870378384617,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.1643835616438356,0.14611872146118723,0.14742014742014742,0.18181818181818182,0.15822784810126583,0.15959369208892354,0.013026943978528847,0.16840223142836974,0.15881695214876362,0.2608484461636057,0.06194618210665773,0.13942645092607034,0.1578880525546934,0.06365206470132341,1,0.16528821246412684,0.16666726237751597,0.138556997811978,0.21739515981101415,0.17349475404565312,0.1722804773020576,0.02551267161300308
8,0.0036354541778564455,0.000477955565160121,0.00694117546081543,0.0003582367037872141,balanced,,5,10,0,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 0}",0.08691824316249468,0.11447760120221506,0.08240428163590194,0.12225337335908776,0.2583344455049172,0.13287758897292332,0.06457657869401374,5,0.19175500712726468,0.17210112265397956,0.16745829287812075,0.20072184078088479,0.16484925692231533,0.179377104072513,0.014246870378384617,0.11235955056179775,0.11764705882352941,0.0967741935483871,0.13157894736842107,0.20454545454545453,0.13258104096951798,0.03766681253358233,23,0.1643835616438356,0.14611872146118723,0.14742014742014742,0.18181818181818182,0.15822784810126583,0.15959369208892354,0.013026943978528847,0.16840223142836974,0.15881695214876362,0.2608484461636057,0.06194618210665773,0.13942645092607034,0.1578880525546934,0.06365206470132341,1,0.16528821246412684,0.16666726237751597,0.138556997811978,0.21739515981101415,0.17349475404565312,0.1722804773020576,0.02551267161300308
9,0.0036643505096435546,0.0005247726399735997,0.007439804077148437,0.0005394657396557609,balanced,3,1,2,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",0.08942634416992276,0.04485823312559713,0.3422949002217295,0.06042128603104213,0.08508017377380298,0.12441618746441889,0.11015222202722015,28,0.11118796316467155,0.10845765815002084,0.16808735939789232,0.2637378981168048,0.09713668482239354,0.1497215127303566,0.06211238962312561,0.1090909090909091,0.07373271889400922,0.36363636363636365,0.09090909090909091,0.09836065573770493,0.14714594765361558,0.10885621442354816,1,0.10420168067226893,0.10089020771513355,0.18666666666666668,0.28571428571428575,0.10660980810234541,0.15681652977414007,0.07200340673190038,0.08249966653327998,0.05878658750514264,0.26809050480030683,0.03686264817565619,0.05230630009391071,0.09970914142165928,0.0854632272471614,70,0.14834165309033867,0.10763538225748076,0.07868103713455481,0.1569882303488861,0.13584895842132516,0.1254990522505171,0.028745471132689163
