Season,Name,death,min,max,mean,multiply,death_prediction,death_prediction_probability
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,SINGAPURA,False,0.9597343,0.99256,0.9852291,-0.4480465623876196,False,0.0
winter,SINGAPURA,False,0.9597343,0.99256,0.9852291,-0.4480465623876196,False,0.0
winter,SINGAPURA,False,0.9597343,0.99256,0.9852291,-0.4480465623876196,False,0.0
winter,TOKYO,False,0.9811559,0.99256235,0.9898056,-0.3075857973002919,False,0.0
winter,TOKYO,False,0.9836642,0.99256235,0.9901087,-0.2983564334071722,False,0.0
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,False,0.0
winter,GLORY,False,0.9724636,0.99255735,0.9886998,-0.3415561157270567,False,0.0
winter,NEVADA,False,0.97224,0.9925237,0.98684037,-0.3980592991479117,False,0.0
winter,ELEONORA,False,0.9812018,0.99257874,0.99030215,-0.2925118637839847,False,0.0
winter,ELEONORA,False,0.9812018,0.99257874,0.99030215,-0.2925118637839847,False,0.0
winter,MOSCOW,False,0.96811104,0.9925747,0.9872162,-0.3869688313997907,False,0.0
winter,MOSCOW,False,0.96811104,0.9925747,0.9872162,-0.3869688313997907,False,0.0
winter,TOKYO,False,0.97841066,0.99256235,0.9894427,-0.3186558249649416,False,0.0
summer,BRADY,False,0.9664823,0.99047375,0.97877663,-0.644219596439783,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
summer,BRADY,False,0.9664823,0.99047375,0.97877663,-0.644219596439783,False,0.0
summer,BRADY,False,0.9664823,0.99047375,0.97877663,-0.644219596439783,False,0.0
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,False,0.0
summer,PISCES,False,0.96278584,0.9924065,0.98396456,-0.4862099788102432,False,0.0
summer,SINGAPURA,False,0.9242056,0.99168533,0.9773988,-0.6906828940289162,False,0.0
summer,NEVADA,True,0.9547708,0.9913305,0.9792997,-0.6287195648862622,False,0.0
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,False,0.0
summer,VENICE,True,0.90194356,0.9923166,0.9804917,-0.5979635421234561,False,0.0
summer,VENICE,True,0.9308199,0.9923166,0.98190135,-0.5522278895752136,False,0.0
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,False,0.0
summer,PISCES,False,0.96278584,0.9924601,0.9840046,-0.4849965645923407,False,0.0
summer,PISCES,False,0.96278584,0.9924601,0.9840046,-0.4849965645923407,False,0.0
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,False,0.0
summer,TOKYO,False,0.9895557,0.9925111,0.99126947,-0.2630744044502164,False,0.0
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,False,0.0
summer,MOSCOW,False,0.9570484,0.9923875,0.98067856,-0.5874048678485905,False,0.0
summer,MOSCOW,False,0.9570484,0.9923875,0.98067856,-0.5874048678485905,False,0.0
summer,MOSCOW,False,0.9570484,0.9923875,0.98067856,-0.5874048678485905,False,0.0
summer,CHARLESTON,False,0.9597099,0.9915165,0.9760796,-0.7273958151093532,False,0.0
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,False,0.0
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,False,0.0
summer,NEVADA,True,0.9547708,0.9913305,0.9792901,-0.6290245105747829,False,0.0
summer,NEVADA,True,0.91518074,0.9913305,0.97609484,-0.7303193149487757,False,0.0
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,False,0.0
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,False,0.0
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,False,0.0
summer,VENICE,True,0.90194356,0.9923166,0.9804917,-0.5979635421234561,False,0.0
summer,JADE,False,0.9885067,0.9919763,0.9910296,-0.2703374799519576,False,0.0
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,False,0.0
summer,SINGAPURA,False,0.9242056,0.99168533,0.9773988,-0.6906828940289162,False,0.0
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,False,0.0
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,False,0.0
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,False,0.0
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,False,0.0
summer,SINGAPURA,False,0.95119745,0.99168533,0.97845185,-0.6562806935827108,False,0.0
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,False,0.0
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,False,0.0
summer,CONTROL,False,0.9859502,0.9859502,0.98595023,-0.4244838362006841,False,0.0
summer,TINA,False,0.84720296,0.9917535,0.9772225,-0.7039252447410889,False,0.0
summer,TINA,False,0.84720296,0.9917535,0.9772225,-0.7039252447410889,False,0.0
summer,ELPIDA,False,0.9641373,0.9923861,0.98159134,-0.558743885613883,False,0.0
summer,ELPIDA,False,0.9641373,0.9923508,0.981669,-0.5563709829015083,False,0.0
summer,ELPIDA,False,0.9641373,0.9923508,0.98168,-0.5560508176595014,False,0.0
summer,GLORY,False,0.96161777,0.9923817,0.9795965,-0.6199625673315293,False,0.0
summer,GLORY,False,0.96161777,0.9923524,0.9795841,-0.6203391403712121,False,0.0
summer,GLORY,False,0.96161777,0.9923817,0.9795965,-0.6199625673315293,False,0.0
summer,ELOANE,False,0.98453295,0.9920266,0.9903977,-0.2895298857222801,False,0.3333333333333333
summer,ELOANE,False,0.98453295,0.9920266,0.9903977,-0.2895298857222801,False,0.3333333333333333
summer,ELOANE,True,0.98453295,0.9920266,0.9903977,-0.2895298857222801,False,0.3333333333333333
summer,CHARLESTON,True,0.9597099,0.9915165,0.9764098,-0.7173290123772317,False,0.5
winter,CONTROL,True,0.9924225,0.9924225,0.9924224,-0.2281900150916011,False,0.5
summer,CHARLESTON,False,0.9597099,0.9915165,0.9764098,-0.7173290123772317,False,0.5
winter,CONTROL,False,0.9924225,0.9924225,0.9924224,-0.2281900150916011,False,0.5
