model_name,MCC,AUPRC,F1
RandomForestClassifier,0.6370074135201407,0.4875439525789762,0.5887955182072828
DecisionTreeClassifier,0.6483446314096211,0.46435031152239814,0.5966386554621849
XGBClassifier,0.6143648908336194,0.46481667730860554,0.573109243697479
VotingClassifier,0.6483446314096211,0.5019642292818928,0.5966386554621849
best_model,DecisionTreeClassifier,VotingClassifier,DecisionTreeClassifier
