min_temp,max_temp,Δtemp,min_sal,max_sal,Δsal,days_passed
8,8,0,28,28,0,5
8,8,0,28,28,0,4
15,15,0,35,35,0,10
8,8,0,29,29,0,9
8,8,0,29,29,0,8
8,8,0,29,29,0,7
8,8,0,28,28,0,6
8,8,0,28,28,0,5
8,8,0,28,28,0,4
23,23,0,36,36,0,33
23,23,0,35,35,0,32
23,23,0,29,29,0,31
24,24,0,26,26,0,30
24,24,0,37,37,0,29
25,25,0,37,37,0,28
25,25,0,37,37,0,27
26,26,0,37,37,0,26
26,26,0,34,34,0,25
25,25,0,36,36,0,24
24,24,0,39,39,0,23
22,22,0,39,39,0,22
16,16,0,39,39,0,21
17,17,0,39,39,0,20
14,14,0,39,39,0,19
8,8,0,38,38,0,18
8,8,0,29,29,0,17
8,8,0,29,29,0,16
8,8,0,29,29,0,15
14,14,0,38,38,0,14
16,16,0,38,38,0,13
16,16,0,37,37,0,12
16,16,0,38,38,0,11
17,17,0,39,39,0,10
15,15,0,39,39,0,9
15,15,0,39,39,0,8
16,16,0,39,39,0,7
18,18,0,39,39,0,6
16,16,0,39,39,0,5
16,16,0,39,39,0,4
23,23,0,36,36,0,33
23,23,0,35,35,0,32
23,23,0,29,29,0,31
24,24,0,26,26,0,30
24,24,0,37,37,0,29
25,25,0,37,37,0,28
25,25,0,37,37,0,27
26,26,0,37,37,0,26
26,26,0,34,34,0,25
25,25,0,36,36,0,24
24,24,0,39,39,0,23
22,22,0,39,39,0,22
16,16,0,39,39,0,21
17,17,0,39,39,0,20
14,14,0,39,39,0,19
8,8,0,38,38,0,18
8,8,0,29,29,0,17
8,8,0,29,29,0,16
8,8,0,29,29,0,15
14,14,0,38,38,0,14
16,16,0,38,38,0,13
16,16,0,37,37,0,12
16,16,0,38,38,0,11
17,17,0,39,39,0,10
15,15,0,39,39,0,9
15,15,0,39,39,0,8
16,16,0,39,39,0,7
18,18,0,39,39,0,6
16,16,0,39,39,0,5
16,16,0,39,39,0,4
8,8,0,28,28,0,24
15,15,0,38,38,0,23
15,15,0,39,39,0,22
15,15,0,39,39,0,21
17,17,0,39,39,0,20
16,16,0,39,39,0,19
24,24,0,40,40,0,18
22,22,0,39,39,0,17
25,25,0,39,39,0,16
25,25,0,39,39,0,15
26,26,0,34,34,0,14
26,26,0,35,35,0,13
27,27,0,38,38,0,12
29,29,0,37,37,0,11
29,29,0,36,36,0,10
29,29,0,35,35,0,9
28,28,0,34,34,0,8
28,28,0,34,34,0,7
30,30,0,33,33,0,6
31,31,0,32,32,0,5
32,32,0,32,32,0,4
29,29,0,36,36,0,10
29,29,0,35,35,0,9
28,28,0,34,34,0,8
28,28,0,34,34,0,7
30,30,0,33,33,0,6
31,31,0,32,32,0,5
32,32,0,32,32,0,4
23,23,0,37,37,0,33
23,23,0,37,37,0,32
23,23,0,35,35,0,31
23,23,0,39,39,0,30
23,23,0,29,29,0,29
22,22,0,40,40,0,28
17,17,0,39,39,0,27
17,17,0,39,39,0,26
16,16,0,39,39,0,25
15,15,0,38,38,0,24
15,15,0,38,38,0,23
15,15,0,38,38,0,22
15,15,0,37,37,0,21
14,14,0,38,38,0,20
14,14,0,38,38,0,19
14,14,0,40,40,0,18
14,14,0,38,38,0,17
15,15,0,38,38,0,16
15,15,0,38,38,0,15
14,14,0,38,38,0,14
14,14,0,38,38,0,13
14,14,0,38,38,0,12
14,14,0,39,39,0,11
15,15,0,38,38,0,10
15,15,0,37,37,0,9
15,15,0,38,38,0,8
16,16,0,39,39,0,7
18,18,0,40,40,0,6
16,16,0,39,39,0,5
16,16,0,39,39,0,4
23,23,0,37,37,0,33
23,23,0,37,37,0,32
23,23,0,35,35,0,31
23,23,0,39,39,0,30
23,23,0,29,29,0,29
22,22,0,40,40,0,28
17,17,0,39,39,0,27
17,17,0,39,39,0,26
16,16,0,39,39,0,25
15,15,0,38,38,0,24
15,15,0,38,38,0,23
15,15,0,38,38,0,22
15,15,0,37,37,0,21
14,14,0,38,38,0,20
14,14,0,38,38,0,19
14,14,0,40,40,0,18
14,14,0,38,38,0,17
15,15,0,38,38,0,16
15,15,0,38,38,0,15
14,14,0,38,38,0,14
14,14,0,38,38,0,13
14,14,0,38,38,0,12
14,14,0,39,39,0,11
15,15,0,38,38,0,10
15,15,0,37,37,0,9
15,15,0,38,38,0,8
16,16,0,39,39,0,7
18,18,0,40,40,0,6
16,16,0,39,39,0,5
16,16,0,39,39,0,4
24,24,0,40,40,0,33
24,24,0,40,40,0,32
24,24,0,40,40,0,31
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
24,24,0,40,40,0,10
24,24,0,40,40,0,9
24,24,0,40,40,0,8
24,24,0,40,40,0,7
24,24,0,40,40,0,6
24,24,0,40,40,0,5
24,24,0,40,40,0,4
24,24,0,40,40,0,33
24,24,0,40,40,0,32
24,24,0,40,40,0,31
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
24,24,0,40,40,0,10
24,24,0,40,40,0,9
24,24,0,40,40,0,8
24,24,0,40,40,0,7
24,24,0,40,40,0,6
24,24,0,40,40,0,5
24,24,0,40,40,0,4
15,15,0,35,35,0,30
15,15,0,35,35,0,29
16,16,0,36,36,0,28
21,21,0,36,36,0,27
27,27,0,35,35,0,26
29,29,0,35,35,0,25
29,29,0,36,36,0,24
29,29,0,35,35,0,23
29,29,0,36,36,0,22
29,29,0,37,37,0,21
28,28,0,35,35,0,20
29,29,0,36,36,0,19
29,29,0,35,35,0,18
29,29,0,36,36,0,17
26,26,0,36,36,0,16
26,26,0,36,36,0,15
26,26,0,38,38,0,14
26,26,0,39,39,0,13
21,21,0,39,39,0,12
15,15,0,39,39,0,11
18,18,0,38,38,0,10
16,16,0,39,39,0,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
15,15,0,38,38,0,6
15,15,0,38,38,0,5
12,12,0,38,38,0,4
16,16,0,35,35,0,30
16,16,0,35,35,0,29
17,17,0,36,36,0,28
22,22,0,36,36,0,27
28,28,0,35,35,0,26
30,30,0,35,35,0,25
30,30,0,36,36,0,24
29,29,0,35,35,0,23
29,29,0,36,36,0,22
29,29,0,37,37,0,21
28,28,0,35,35,0,20
29,29,0,36,36,0,19
29,29,0,35,35,0,18
29,29,0,36,36,0,17
26,26,0,36,36,0,16
26,26,0,36,36,0,15
26,26,0,38,38,0,14
26,26,0,39,39,0,13
21,21,0,39,39,0,12
15,15,0,39,39,0,11
18,18,0,38,38,0,10
16,16,0,39,39,0,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
15,15,0,38,38,0,6
15,15,0,38,38,0,5
12,12,0,38,38,0,4
17,17,0,35,35,0,30
17,17,0,35,35,0,29
18,18,0,36,36,0,28
23,23,0,36,36,0,27
29,29,0,35,35,0,26
31,31,0,35,35,0,25
31,31,0,36,36,0,24
29,29,0,35,35,0,23
29,29,0,36,36,0,22
29,29,0,37,37,0,21
28,28,0,35,35,0,20
29,29,0,36,36,0,19
29,29,0,35,35,0,18
29,29,0,36,36,0,17
26,26,0,36,36,0,16
26,26,0,36,36,0,15
26,26,0,38,38,0,14
26,26,0,39,39,0,13
21,21,0,39,39,0,12
15,15,0,39,39,0,11
18,18,0,38,38,0,10
16,16,0,39,39,0,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
15,15,0,38,38,0,6
15,15,0,38,38,0,5
12,12,0,38,38,0,4
15,15,0,36,36,0,30
15,15,0,37,37,0,29
15,15,0,39,39,0,28
15,15,0,38,38,0,27
15,15,0,39,39,0,26
16,16,0,40,40,0,25
16,16,0,39,39,0,24
24,24,0,39,39,0,23
26,26,0,36,36,0,22
25,25,0,37,37,0,21
28,28,0,38,38,0,20
29,29,0,38,38,0,19
29,29,0,37,37,0,18
29,29,0,35,35,0,17
29,29,0,34,34,0,16
27,27,0,33,33,0,15
29,29,0,33,33,0,14
30,30,0,32,32,0,13
29,29,0,32,32,0,12
32,32,0,32,32,0,11
26,26,0,35,35,0,10
26,26,0,34,34,0,9
19,19,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
18,18,0,33,33,0,5
18,18,0,33,33,0,4
29,29,0,34,34,0,16
27,27,0,33,33,0,15
29,29,0,33,33,0,14
30,30,0,32,32,0,13
29,29,0,32,32,0,12
32,32,0,32,32,0,11
26,26,0,35,35,0,10
26,26,0,34,34,0,9
19,19,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
18,18,0,33,33,0,5
18,18,0,33,33,0,4
15,15,0,36,36,0,30
15,15,0,37,37,0,29
15,15,0,39,39,0,28
15,15,0,38,38,0,27
15,15,0,39,39,0,26
16,16,0,40,40,0,25
16,16,0,39,39,0,24
24,24,0,39,39,0,23
26,26,0,36,36,0,22
25,25,0,37,37,0,21
28,28,0,38,38,0,20
29,29,0,38,38,0,19
29,29,0,37,37,0,18
29,29,0,35,35,0,17
29,29,0,34,34,0,16
27,27,0,33,33,0,15
29,29,0,33,33,0,14
30,30,0,32,32,0,13
29,29,0,32,32,0,12
32,32,0,32,32,0,11
26,26,0,35,35,0,10
26,26,0,34,34,0,9
19,19,0,34,34,0,8
19,19,0,34,34,0,7
18,18,0,34,34,0,6
18,18,0,33,33,0,5
18,18,0,33,33,0,4
28,28,0,35,35,0,30
28,28,0,36,36,0,29
26,26,0,37,37,0,28
26,26,0,37,37,0,27
25,25,0,37,37,0,26
23,23,0,37,37,0,25
23,23,0,38,38,0,24
21,21,0,40,40,0,23
21,21,0,40,40,0,22
23,23,0,40,40,0,21
19,19,0,40,40,0,20
19,19,0,40,40,0,19
20,20,0,40,40,0,18
22,22,0,40,40,0,17
23,23,0,35,35,0,16
23,23,0,30,30,0,15
23,23,0,27,27,0,14
24,24,0,36,36,0,13
26,26,0,36,36,0,12
25,25,0,37,37,0,11
26,26,0,36,36,0,10
28,28,0,36,36,0,9
28,28,0,33,33,0,8
29,29,0,34,34,0,7
29,29,0,32,32,0,6
29,29,0,32,32,0,5
29,29,0,32,32,0,4
23,23,0,37,37,0,25
23,23,0,38,38,0,24
21,21,0,40,40,0,23
21,21,0,40,40,0,22
23,23,0,40,40,0,21
19,19,0,40,40,0,20
19,19,0,40,40,0,19
20,20,0,40,40,0,18
22,22,0,40,40,0,17
23,23,0,35,35,0,16
23,23,0,30,30,0,15
23,23,0,27,27,0,14
24,24,0,36,36,0,13
26,26,0,36,36,0,12
25,25,0,37,37,0,11
26,26,0,36,36,0,10
28,28,0,36,36,0,9
28,28,0,33,33,0,8
29,29,0,34,34,0,7
29,29,0,32,32,0,6
29,29,0,32,32,0,5
29,29,0,32,32,0,4
23,23,0,27,27,0,14
24,24,0,36,36,0,13
26,26,0,36,36,0,12
25,25,0,37,37,0,11
26,26,0,36,36,0,10
28,28,0,36,36,0,9
28,28,0,33,33,0,8
29,29,0,34,34,0,7
29,29,0,32,32,0,6
29,29,0,32,32,0,5
29,29,0,32,32,0,4
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
