Season,Name,Replicate,death,min,max,mean,log_multiply,death_prediction,death_prediction_probability
winter,VENUS,c,True,0.96844229518422,1.0,0.9915167401865552,-0.2560875869699001,False,0.469545842801798
winter,VENUS,a,True,0.96844229518422,1.0,0.9915167401865552,-0.2560875869699001,False,0.469545842801798
winter,VENUS,b,True,0.96844229518422,1.0,0.9916062256451684,-0.2533800983934846,False,0.469545842801798
winter,ORPHEUS,a,True,0.0,1.0,0.7941141456882258,-138.33462079765465,False,0.469545842801798
winter,ORPHEUS,b,True,0.0,1.0,0.7941141456882258,-138.33462079765465,False,0.469545842801798
summer,MAYA,b,True,0.0,1.0,0.9430058670333924,-23.84904939701715,False,0.469545842801798
summer,MAYA,c,True,0.0,1.0,0.9430058670333924,-23.84904939701715,False,0.469545842801798
summer,ORPHEUS,c,True,0.0,1.0,0.7661359523423613,-117.4167930353672,False,0.469545842801798
summer,MAYA,a,True,0.6,1.0,0.9524875862566856,-1.6866165982198906,False,0.469545842801798
summer,ORPHEUS,b,True,0.0,1.0,0.7661359523423613,-117.4167930353672,False,0.469545842801798
summer,ORPHEUS,a,True,0.0,1.0,0.7661359523423613,-117.4167930353672,False,0.469545842801798
winter,MAYA,a,True,0.8,1.0,0.9716800261292736,-0.9203879453380888,False,0.469545842801798
winter,MAYA,b,True,0.8,1.0,0.9719119077946012,-0.9133814432218216,False,0.469545842801798
winter,INGY,b,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298,False,0.4695463630694032
winter,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
winter,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
winter,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
winter,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625604,-0.1019315543055375,False,0.4695463630694032
