Season,Name,death_prediction,death_prediction_probability
winter,CONTROL,False,0.30712703780343265
summer,CONTROL,False,0.30904017817415397
summer,TOKYO,False,0.309464590990807
summer,JADE,False,0.31035377680627885
winter,ELOANE,False,0.31055831773876086
winter,TINA,False,0.31226405847671135
summer,ELOANE,False,0.313738620790977
winter,ELEONORA,False,0.31659616746340935
winter,TOKYO,False,0.31670743462954576
winter,VENICE,False,0.3214061514892416
winter,GLORY,False,0.3241786596983285
winter,NEVADA,False,0.3244534428758523
winter,PISCES,False,0.32523362949982426
winter,BRADY,False,0.32613074435570716
winter,ELPIDA,False,0.3262569969154613
winter,MOSCOW,False,0.3280021344397116
winter,MAYA,False,0.3282885213877632
summer,BRADY,False,0.32944081406542464
summer,ELPIDA,False,0.3315197284383162
summer,PISCES,False,0.3327218813870518
summer,GLORY,False,0.3337632814185951
winter,SINGAPURA,False,0.33544713286495614
summer,CHARLESTON,False,0.3354689843101257
summer,MOSCOW,False,0.3378582343920464
summer,NEVADA,False,0.3522414585150783
summer,SINGAPURA,False,0.35988949093150513
winter,VENUS,False,0.3729534316129453
summer,VENICE,False,0.380526734341789
summer,TINA,False,0.4492324673898182
summer,ELEONORA,True,0.5331633346294894
summer,MAYA,True,0.8189440615553979
summer,VENUS,True,0.9340331163238634
summer,GLOBE,True,0.9427004758917782
summer,INGY,True,0.9427004758917782
summer,LEANNE,True,0.9427576574371829
summer,FORSTER,True,0.9450982460128357
winter,ORPHEUS,True,0.94687415626343
summer,ANNA,True,0.9471221659706472
winter,INGY,True,0.9478447079278144
winter,GLOBE,True,0.9478447079278144
summer,ORPHEUS,True,0.94791056251448
winter,FORSTER,True,0.9483432539327398
winter,ANNA,True,0.9484153536555094
