Season,Name,Replicate,death,min,max,mean,log_multiply
winter,PISCES,a,True,0.9402371669790919,0.9901911345254453,0.9810862817786556,-0.5769702951879913
winter,PISCES,b,True,0.9541940914296753,0.9901911345254453,0.984416546281746,-0.4734386133310364
winter,PISCES,c,True,0.9402371669790919,0.9901911345254453,0.9827514140302008,-0.5252044542595138
winter,ELPIDA,a,True,0.9355894402668847,0.9901911345254453,0.9817697717428424,-0.5553818868111418
winter,ELPIDA,b,False,0.9355894402668847,0.9901911345254453,0.9817697717428424,-0.5553818868111418
winter,ELPIDA,c,True,0.9355894402668847,0.9901911345254453,0.9817697717428424,-0.5553818868111418
winter,BRADY,a,True,0.9355894402668847,0.9947007369716202,0.9838758537869058,-0.4914177417033858
winter,BRADY,b,True,0.9355894402668847,0.9947007369716202,0.9835752136238276,-0.5005056124730807
winter,BRADY,c,True,0.9355894402668847,0.9947007369716202,0.9835752136238276,-0.5005056124730807
winter,INGY,a,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298
winter,INGY,b,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298
winter,INGY,c,True,0.0,0.9997167138810198,0.8597254181022275,-92.31263076862298
winter,VENUS,a,True,0.9684422951842201,1.0,0.9915167401865553,-0.2560875869699001
winter,VENUS,b,True,0.9684422951842201,1.0,0.9916062256451684,-0.25338009839348463
winter,VENUS,c,True,0.9684422951842201,1.0,0.9915167401865553,-0.2560875869699001
winter,GLORY,a,False,0.9355894402668847,0.9928756982838344,0.9822632358448197,-0.5414533399461939
winter,GLORY,b,False,0.9355894402668847,0.9928756982838344,0.9836065794878802,-0.4993824595867535
winter,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,ORPHEUS,a,True,0.0,1.0,0.7941141456882258,-138.33462079765465
winter,ORPHEUS,b,True,0.0,1.0,0.7941141456882258,-138.33462079765465
winter,TINA,a,True,0.9355894402668847,0.9904859170299943,0.9837397911461783,-0.49495835898599433
winter,TINA,b,True,0.9355894402668847,0.9904859170299943,0.9833071492218128,-0.5081093320741457
winter,VENICE,a,False,0.9836734693877551,0.9985163204747775,0.9904159015269545,-0.28914615221494455
winter,VENICE,b,False,0.9836734693877551,0.9985163204747775,0.9904159015269545,-0.28914615221494455
winter,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,SINGAPURA,a,False,0.9165418212192655,0.9928756982838344,0.9831939711127643,-0.5164619396070838
winter,SINGAPURA,b,False,0.9165418212192655,0.9928756982838344,0.9831939711127643,-0.5164619396070838
winter,SINGAPURA,c,False,0.9165418212192655,0.9928756982838344,0.9831939711127643,-0.5164619396070838
winter,TOKYO,a,False,0.9684422951842201,0.9981542138810198,0.9864460545370435,-0.4106802908452058
winter,TOKYO,b,False,0.9684422951842201,0.9981542138810198,0.9864460545370435,-0.4106802908452058
winter,TOKYO,c,False,0.9684422951842201,0.9981542138810198,0.9865355399956565,-0.40797280226879035
winter,ANNA,a,True,0.0,0.9962632369716202,0.7896119485987474,-138.4706807137823
winter,ANNA,b,True,0.0,0.9962632369716202,0.7896119485987474,-138.4706807137823
winter,ANNA,c,True,0.0,0.9962632369716202,0.7896119485987474,-138.4706807137823
winter,MOSCOW,a,False,0.9355894402668847,0.9928756982838344,0.985191218437679,-0.45057261518224356
winter,MOSCOW,b,True,0.9355894402668847,0.9928756982838344,0.985101732979066,-0.4532801037586591
winter,MOSCOW,c,False,0.9355894402668847,0.9928756982838344,0.985191218437679,-0.45057261518224356
winter,FORSTER,a,True,0.0,0.9985163204747775,0.7934713169556351,-138.3521953754295
winter,FORSTER,b,True,0.0,0.9985163204747775,0.7934713169556351,-138.3521953754295
winter,FORSTER,c,True,0.0,0.9985163204747775,0.7934713169556351,-138.3521953754295
winter,ELEONORA,a,False,0.9165418212192655,0.9947007369716202,0.982045238546992,-0.5513791141883583
winter,ELEONORA,b,False,0.9165418212192655,0.9947007369716202,0.982045238546992,-0.5513791141883583
winter,ELEONORA,c,True,0.9165418212192655,0.9962632369716202,0.9838446566120644,-0.494710998413748
winter,NEVADA,a,False,0.8443075662660233,0.9962632369716202,0.9786322781947902,-0.6668465474756602
winter,NEVADA,b,True,0.8443075662660233,0.9962632369716202,0.9791551540117835,-0.6498767225122072
winter,NEVADA,c,True,0.8443075662660233,0.9962632369716202,0.9787364296347282,-0.6625657361977626
winter,CONTROL,a,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,b,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,c,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,d,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,e,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
winter,CONTROL,f,False,0.9962632369716202,0.9997167138810198,0.9966085846625605,-0.10193155430553756
summer,ORPHEUS,a,True,0.0,1.0,0.7661359523423613,-117.4167930353672
summer,ORPHEUS,b,True,0.0,1.0,0.7661359523423613,-117.4167930353672
summer,ORPHEUS,c,True,0.0,1.0,0.7661359523423613,-117.4167930353672
summer,BRADY,a,False,0.9165418212192655,0.9947007369716202,0.9852469052927961,-0.4521867333504139
