,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
52,0.003799581527709961,0.0003985910470309312,0.007998228073120117,1.725860697827707e-06,,3,5,5,42,"{'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.26738189346885,0.16261998870694522,0.5358961690483429,0.1114018883415435,0.30451839826839827,0.276363667566816,0.1472280500025924,29,0.38866886688668867,0.4180803910350549,0.3166309985604554,0.3692665725573513,0.3600539841791445,0.370540162643739,0.03348582737721941
53,0.003799724578857422,0.00039949710227453787,0.007799911499023438,0.00040128385097486073,,3,5,10,42,"{'class_weight': None, 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.26738189346885,0.16261998870694522,0.5358961690483429,0.1114018883415435,0.30451839826839827,0.276363667566816,0.1472280500025924,29,0.38866886688668867,0.4180803910350549,0.3166309985604554,0.3692665725573513,0.3600539841791445,0.370540162643739,0.03348582737721941
54,0.004600334167480469,0.0004881695576788862,0.00840010643005371,0.000800896556810173,,5,1,2,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42}",0.4647846702828838,0.2238204867140936,0.701404214049177,0.4044297144818667,0.4939635614091387,0.457680529387432,0.15381438849661025,4,0.5966445312462516,0.621318677149264,0.5357787076110918,0.562217249196534,0.6118067001972307,0.5855531730800744,0.031979680891485576,0.3636363636363636,0.1818181818181818,0.6666666666666666,0.4210526315789474,0.4,0.40663476874003185,0.15508697138125577,4,0.5333333333333333,0.5652173913043478,0.45454545454545453,0.48888888888888893,0.5531914893617021,0.5190353114867454,0.04140437381675347,0.26537688093752165,0.10562143170838822,0.5358961690483429,0.21297070833097034,0.315535546273593,0.2870801472597632,0.14255499190746052,9,0.4875046946964755,0.5094003386710881,0.39288447027080137,0.47722965349029534,0.4562514593175313,0.4646541232892384,0.03975928626291497
55,0.004597949981689453,0.0004891429269934493,0.008201837539672852,0.00039947162062761526,,5,1,5,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42}",0.4647846702828838,0.2238204867140936,0.701404214049177,0.4044297144818667,0.4939635614091387,0.457680529387432,0.15381438849661025,4,0.5441145155760928,0.5709576685937344,0.47873654702832974,0.562217249196534,0.5080368531617392,0.5328125667112861,0.03459904647375127,0.3636363636363636,0.1818181818181818,0.6666666666666666,0.4210526315789474,0.4,0.40663476874003185,0.15508697138125577,4,0.4651162790697675,0.5,0.38095238095238093,0.48888888888888893,0.4186046511627907,0.45071244001476557,0.044702463786259986,0.26537688093752165,0.10562143170838822,0.5358961690483429,0.21297070833097034,0.3117397862979258,0.28632099526462984,0.1424114708121353,10,0.46424169443971425,0.48920890361744973,0.3770349159455931,0.47722965349029534,0.42550176382280014,0.4466433862631705,0.0408640448330005
56,0.004400014877319336,0.0004906618907789284,0.007799863815307617,0.000399828795953643,,5,1,10,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42}",0.4647846702828838,0.2238204867140936,0.701404214049177,0.4044297144818667,0.4939635614091387,0.457680529387432,0.15381438849661025,4,0.5441145155760928,0.5709576685937344,0.47873654702832974,0.562217249196534,0.5080368531617392,0.5328125667112861,0.03459904647375127,0.3636363636363636,0.1818181818181818,0.6666666666666666,0.4210526315789474,0.4,0.40663476874003185,0.15508697138125577,4,0.4651162790697675,0.5,0.38095238095238093,0.48888888888888893,0.4186046511627907,0.45071244001476557,0.044702463786259986,0.26537688093752165,0.10562143170838822,0.5358961690483429,0.21297070833097034,0.3117397862979258,0.28632099526462984,0.1424114708121353,10,0.46424169443971425,0.48920890361744973,0.3770349159455931,0.47722965349029534,0.42550176382280014,0.4466433862631705,0.0408640448330005
57,0.004801034927368164,0.0011667118540247383,0.008199691772460938,0.00040149994529592453,,5,2,2,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5709576685937344,0.5966445312462516,0.5080303596539684,0.5080368531617392,0.562217249196534,0.5491773323704455,0.03544903338371488,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.5,0.5333333333333333,0.4186046511627907,0.4186046511627907,0.48888888888888893,0.47188630490956074,0.04589787417235267,0.26537688093752165,0.16117698726394378,0.5358961690483429,0.11638057852519433,0.3117397862979258,0.27811408041458574,0.14668097283218526,23,0.47687807180288383,0.5004609587942921,0.3870187891036737,0.45389955251738945,0.44029334798633685,0.45171014404091514,0.03828883563702243
58,0.004199600219726563,0.0003997814962408424,0.008400344848632812,0.0008001212652334511,,5,2,5,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.26537688093752165,0.16117698726394378,0.5358961690483429,0.11638057852519433,0.3117397862979258,0.27811408041458574,0.14668097283218526,23,0.4499195844800204,0.4760301128469709,0.36394566775682097,0.45389955251738945,0.42550176382280014,0.43385933628480033,0.03845955355719893
59,0.004600620269775391,0.0004901554230028115,0.00800018310546875,0.0006318821487099164,,5,2,10,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.26537688093752165,0.16117698726394378,0.5358961690483429,0.11638057852519433,0.3117397862979258,0.27811408041458574,0.14668097283218526,23,0.4499195844800204,0.4760301128469709,0.36394566775682097,0.45389955251738945,0.42550176382280014,0.43385933628480033,0.03845955355719893
60,0.004800844192504883,0.00039854212279306434,0.008057069778442384,0.0005475515170261502,,5,5,2,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.25279658150722617,0.17829080806531333,0.5512082489878543,0.11778921011039926,0.3013140368485196,0.28027977710386254,0.1492681728755376,18,0.47782226496885244,0.4881214191964393,0.36939857107589974,0.45528011885017494,0.44169705337392495,0.4464638854930583,0.041852621000054165
61,0.004000568389892578,0.0006330130391016309,0.008199834823608398,0.00039963934162389484,,5,5,5,42,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'random_state': 42}",0.4647846702828838,0.32799965586939406,0.701404214049177,0.2686468528521804,0.4939635614091387,0.4513597908925548,0.1504122753241109,7,0.5159344503882717,0.5441145155760928,0.44759373990548673,0.5080368531617392,0.5080368531617392,0.504743282438666,0.03150587775893676,0.3636363636363636,0.19999999999999998,0.6666666666666666,0.28571428571428575,0.4,0.3832034632034632,0.15753350844103403,8,0.42857142857142855,0.4651162790697675,0.34146341463414637,0.4186046511627907,0.4186046511627907,0.4144720849201848,0.040318849281424235,0.25279658150722617,0.17829080806531333,0.5512082489878543,0.11778921011039926,0.3013140368485196,0.28027977710386254,0.1492681728755376,18,0.47782226496885244,0.4881214191964393,0.36939857107589974,0.45528011885017494,0.44169705337392495,0.4464638854930583,0.041852621000054165
