Season,Name,death_prediction,death_prediction_probability
summer,BRADY,False,0.26519762845849804
summer,CHARLESTON,False,0.26519762845849804
summer,NEVADA,False,0.26519762845849804
summer,GLOBE,False,0.26519762845849804
summer,SINGAPURA,False,0.26519762845849804
summer,CONTROL,False,0.2682283325524224
summer,TINA,False,0.3972260678798185
summer,VENUS,False,0.4152763371940528
summer,INGY,False,0.4523188405797101
summer,JADE,False,0.4523188405797101
summer,ELOANE,False,0.4523188405797101
winter,BRADY,False,0.4523188405797101
summer,ORPHEUS,False,0.4523188405797101
summer,ELEONORA,False,0.4523188405797101
summer,MAYA,False,0.456918030863075
summer,VENICE,False,0.4694200551548368
winter,CONTROL,False,0.47631884057971013
summer,LEANNE,False,0.47765001466874396
summer,ELPIDA,True,0.514084022766169
summer,GLORY,True,0.5231852373408027
summer,MOSCOW,True,0.5383107434137939
summer,FORSTER,True,0.5496791644664164
summer,PISCES,True,0.5671366543449287
summer,ANNA,True,0.5723188405797102
winter,GLOBE,True,0.5723188405797102
summer,TOKYO,True,0.5723188405797102
winter,FORSTER,True,0.5723188405797102
winter,ELPIDA,True,0.5723188405797102
winter,GLORY,True,0.5723188405797102
winter,PISCES,True,0.5723188405797102
winter,MOSCOW,True,0.5723188405797102
winter,NEVADA,True,0.5723188405797102
winter,VENUS,True,0.5723188405797102
winter,TINA,True,0.5723188405797102
winter,VENICE,True,0.5723188405797102
winter,ORPHEUS,True,0.5723188405797102
winter,SINGAPURA,True,0.5723188405797102
winter,TOKYO,True,0.5723188405797102
winter,ELEONORA,True,0.6625947026579276
winter,MAYA,True,0.6673188405797101
winter,INGY,True,0.686326547710533
winter,ANNA,True,0.76231884057971
winter,ELOANE,True,0.7623188405797101
