model_name,mean_test_auprc,mean_test_f1,mean_test_mcc,mean_train_auprc,mean_train_f1,mean_train_mcc,split0_test_auprc,split0_test_f1,split0_test_mcc,split0_train_auprc,split0_train_f1,split0_train_mcc,split1_test_auprc,split1_test_f1,split1_test_mcc,split1_train_auprc,split1_train_f1,split1_train_mcc,split2_test_auprc,split2_test_f1,split2_test_mcc,split2_train_auprc,split2_train_f1,split2_train_mcc,split3_test_auprc,split3_test_f1,split3_test_mcc,split3_train_auprc,split3_train_f1,split3_train_mcc,split4_test_auprc,split4_test_f1,split4_test_mcc,split4_train_auprc,split4_train_f1,split4_train_mcc
RandomForestClassifier,0.49871555963791403,0.5887955182072828,0.6370074135201407,0.7267108347207507,0.6171987748831891,0.6635273213397924,0.5907735494863642,0.6666666666666666,0.6773786076528916,0.7097035696527786,0.6101694915254238,0.6579773435226565,0.5897725885333577,0.7058823529411765,0.7340646971002934,0.699830602830459,0.5862068965517241,0.6392462923973489,0.4432955502899636,0.5714285714285714,0.6278669185981051,0.7541738578252869,0.6229508196721312,0.6679084334186761,0.2993760249580265,0.3333333333333333,0.4429030024106458,0.7614756088908863,0.6666666666666666,0.7026062831514298,0.5703600849218581,0.6666666666666666,0.7028238418387674,0.708370534404343,0.6,0.6498982542088506
DecisionTreeClassifier,0.44342884877905775,0.573109243697479,0.6143648908336194,0.514051671348972,0.5888642573273721,0.6193056802375525,0.5574162679425837,0.7058823529411765,0.7340646971002934,0.49465156157903245,0.5573770491803278,0.5872791440571647,0.5558358434795839,0.6666666666666666,0.6773786076528916,0.49197099979981695,0.5666666666666667,0.6032463185720012,0.4183414778388921,0.5714285714285714,0.6278669185981051,0.5184675545421433,0.59375,0.6187421768701943,0.22386694057581344,0.3333333333333333,0.4429030024106458,0.5577051601532403,0.6363636363636364,0.6554089711354643,0.46168371405841574,0.5882352941176471,0.589611228406161,0.5074630806706272,0.5901639344262295,0.6318517905529382
XGBClassifier,0.490805936723414,0.573109243697479,0.6143648908336194,0.6047152337350599,0.5888642573273721,0.6193056802375525,0.5922012663287224,0.7058823529411765,0.7340646971002934,0.5890057446399489,0.5573770491803278,0.5872791440571647,0.6080918161748924,0.6666666666666666,0.6773786076528916,0.5710490023303083,0.5666666666666667,0.6032463185720012,0.47274430221744856,0.5714285714285714,0.6278669185981051,0.6247973116451528,0.59375,0.6187421768701943,0.2593822073636906,0.3333333333333333,0.4429030024106458,0.6513235615453927,0.6363636363636364,0.6554089711354643,0.5216100915323159,0.5882352941176471,0.589611228406161,0.5874005485144963,0.5901639344262295,0.6318517905529382
VotingClassifier,0.49483592949081584,0.573109243697479,0.6143648908336194,0.6769355265473515,0.6065309967966837,0.6489718236184789,0.5895279668872402,0.7058823529411765,0.7340646971002934,0.647385028198969,0.5862068965517241,0.6392462923973489,0.5985511951159207,0.6666666666666666,0.6773786076528916,0.6461489144195155,0.5666666666666667,0.6032463185720012,0.44941564105226217,0.5714285714285714,0.6278669185981051,0.7035720197079459,0.6229508196721312,0.6679084334186761,0.27790713710874454,0.3333333333333333,0.4429030024106458,0.7079331433198675,0.6666666666666666,0.7026062831514298,0.5587777072899118,0.5882352941176471,0.589611228406161,0.6796385270904589,0.5901639344262295,0.6318517905529382
