model_compared,p_val_ttest,p_val_wilcox,mean_diff,p_val_ttest_fdr_corrected,significant_ttest_fdr,p_val_wilcox_fdr_corrected,significant_wilcox_fdr
1_day_interval,0.373900966300059,1.0,0.011337217889480278,0.373900966300059,False,1.0,False
3_day_interval,0.373900966300059,1.0,0.011337217889480278,0.373900966300059,False,1.0,False
4_day_interval,0.1790657545451314,1.0,0.024290852177293876,0.373900966300059,False,1.0,False
