,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,balanced,3,1,2,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",0.3536410140745587,0.35303303463822355,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.30747467549107266,0.10682662668426786,13,0.3867444416589826,0.30501134197496094,0.38119826871229373,0.4299129357140359,0.36791710249491383,0.3741568181110374,0.04034056485566093,0.35294117647058826,0.3137254901960784,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.29433631119358966,0.09336471272308301,13,0.36129032258064514,0.26540284360189575,0.358974358974359,0.4380952380952381,0.34838709677419355,0.35442997200526627,0.054826888559640664,0.5598210857960308,0.41854382353233677,0.44306650798297575,0.2314188929093849,0.5103090172239109,0.43263186548892774,0.1122540446384303,23,0.5043224589677411,0.4179978830085663,0.5257208846798478,0.5397114061710335,0.5088222062012758,0.49931496780569284,0.042560722522346967
1,balanced,3,1,10,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",0.3536410140745587,0.35303303463822355,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.30747467549107266,0.10682662668426786,13,0.3867444416589826,0.30501134197496094,0.38119826871229373,0.41894422170695034,0.36791710249491383,0.37196307530962025,0.03744305061738127,0.35294117647058826,0.3137254901960784,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.29433631119358966,0.09336471272308301,13,0.36129032258064514,0.26540284360189575,0.358974358974359,0.42592592592592593,0.34838709677419355,0.3519961095714038,0.051209598301569896,0.5598210857960308,0.41854382353233677,0.44306650798297575,0.2314188929093849,0.5103090172239109,0.43263186548892774,0.1122540446384303,23,0.5043224589677411,0.4179978830085663,0.5257208846798478,0.5239618077732832,0.5088222062012758,0.49616504812614287,0.03995762762218552
2,balanced,3,2,2,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",0.3536410140745587,0.347843166891515,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.30643670194173095,0.1064032940354957,15,0.3867444416589826,0.3039070549683214,0.38119826871229373,0.4299129357140359,0.36791710249491383,0.37393596070970947,0.04071976013174269,0.35294117647058826,0.3076923076923077,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.2931296746928355,0.09314505937641304,15,0.36129032258064514,0.2641509433962264,0.358974358974359,0.4380952380952381,0.34838709677419355,0.35417959196413246,0.05523422581999843,0.5598210857960308,0.5211045831020439,0.44306650798297575,0.2314188929093849,0.5103090172239109,0.4531440174028692,0.11707267797689602,11,0.5043224589677411,0.46350361336867746,0.5257208846798478,0.5397114061710335,0.5088222062012758,0.5084161138777151,0.02574065281110833
3,balanced,3,2,10,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",0.3536410140745587,0.347843166891515,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.30643670194173095,0.1064032940354957,15,0.3867444416589826,0.3039070549683214,0.38119826871229373,0.41894422170695034,0.36791710249491383,0.37174221790829237,0.037838482041171344,0.35294117647058826,0.3076923076923077,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.2931296746928355,0.09314505937641304,15,0.36129032258064514,0.2641509433962264,0.358974358974359,0.42592592592592593,0.34838709677419355,0.35174572953027006,0.05163367282945177,0.5598210857960308,0.5211045831020439,0.44306650798297575,0.2314188929093849,0.5103090172239109,0.4531440174028692,0.11707267797689602,11,0.5043224589677411,0.46350361336867746,0.5257208846798478,0.5239618077732832,0.5088222062012758,0.5052661941981651,0.022474738462293524
4,balanced,3,5,2,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2, 'random_state': 0}",0.3536410140745587,0.34282785256809833,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.3054336390770476,0.10603121685309615,17,0.3867444416589826,0.3017251228471881,0.38119826871229373,0.41894422170695034,0.36791710249491383,0.3713058314840657,0.03862275422609651,0.35294117647058826,0.3018867924528302,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.29196857164494006,0.09299235071910322,17,0.36129032258064514,0.2616822429906542,0.358974358974359,0.42592592592592593,0.34838709677419355,0.35125198944915553,0.052473892561460615,0.5598210857960308,0.519843597262952,0.44306650798297575,0.2314188929093849,0.4531661600810537,0.4414632488064794,0.11349908952719946,21,0.5043224589677411,0.46087538026217834,0.5257208846798478,0.5239618077732832,0.503809674872955,0.5037380413112011,0.023365789180128917
5,balanced,3,5,10,0,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10, 'random_state': 0}",0.3536410140745587,0.34282785256809833,0.28198797157216926,0.11622687357397093,0.43248448359644076,0.3054336390770476,0.10603121685309615,17,0.3867444416589826,0.3017251228471881,0.38119826871229373,0.41894422170695034,0.36791710249491383,0.3713058314840657,0.03862275422609651,0.35294117647058826,0.3018867924528302,0.2553191489361702,0.13793103448275862,0.4117647058823529,0.29196857164494006,0.09299235071910322,17,0.36129032258064514,0.2616822429906542,0.358974358974359,0.42592592592592593,0.34838709677419355,0.35125198944915553,0.052473892561460615,0.5598210857960308,0.519843597262952,0.44306650798297575,0.2314188929093849,0.4531661600810537,0.4414632488064794,0.11349908952719946,21,0.5043224589677411,0.46087538026217834,0.5257208846798478,0.5239618077732832,0.503809674872955,0.5037380413112011,0.023365789180128917
6,balanced,5,1,2,0,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",0.1515686622333137,0.3067940394446666,0.25246729442815297,0.13955674135038337,0.08714370897322289,0.1875060892859479,0.08014089996904439,24,0.27548546928219475,0.2807153209967974,0.3672024227216446,0.2945748015227937,0.30829538488681013,0.30525467988204813,0.03301276894128328,0.1348314606741573,0.24324324324324326,0.2222222222222222,0.125,0.1,0.16505938522792454,0.05680054746443761,24,0.1942257217847769,0.21568627450980393,0.3105022831050228,0.22580645161290322,0.25396825396825395,0.24003779699615216,0.04013371527290229,0.5612212278266987,0.6282219309742245,0.4679208747728264,0.28560402614921654,0.3162999864514179,0.4518536092348769,0.13367043536799258,15,0.6370864968972395,0.5664281858211078,0.6006434228485465,0.613421094595282,0.5770112525191224,0.5989180905362597,0.025320523702204365
7,balanced,5,1,10,0,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",0.1464169096334136,0.30372685161553037,0.24877456811988852,0.1360222826163985,0.1731910428256288,0.20162633096217197,0.0645104790851631,20,0.2723010918717662,0.2773129399173603,0.3576953609445313,0.2910891097406622,0.30738054981807744,0.3011558104584795,0.030782735008315357,0.13043478260869565,0.24,0.21818181818181817,0.12195121951219512,0.15625,0.1733635640605418,0.04738791833567998,20,0.19121447028423771,0.21221864951768488,0.29955947136563876,0.2222222222222222,0.25296442687747034,0.23563584805345078,0.03765118486724575,0.5156165641540564,0.6255528746367787,0.4655033324658361,0.2802084170230866,0.4560256310827362,0.4685813638724987,0.11180684510807598,3,0.5974771280503175,0.5460599502462092,0.5665894519846446,0.5894357079701907,0.5679171048449705,0.5734958686192665,0.01822487363679697
8,balanced,5,2,2,0,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",0.1515686622333137,0.3099285121404796,0.25246729442815297,0.13955674135038337,0.1731910428256288,0.2053424505955917,0.06544018345486351,19,0.27548546928219475,0.28002793060028586,0.3672024227216446,0.2945748015227937,0.30738054981807744,0.3049342347889993,0.033100402781383736,0.1348314606741573,0.2465753424657534,0.2222222222222222,0.125,0.15625,0.17697580507242658,0.04857679063883381,19,0.1942257217847769,0.21498371335504887,0.3105022831050228,0.22580645161290322,0.25296442687747034,0.23969651934704445,0.04015157218389421,0.5612212278266987,0.6311087229740806,0.4679208747728264,0.28560402614921654,0.4560256310827362,0.4803760965611117,0.11656800336803133,1,0.6268645909646522,0.5740076386768288,0.5985730294738054,0.613421094595282,0.5679171048449705,0.5961566917111079,0.022516341569543546
9,balanced,5,2,10,0,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",0.1464169096334136,0.30072436495140004,0.24877456811988852,0.1360222826163985,0.1731910428256288,0.20102583362934592,0.06356431482616012,21,0.2723010918717662,0.27664267599721903,0.3576953609445313,0.2910891097406622,0.30738054981807744,0.3010217576744513,0.030887555124002795,0.13043478260869565,0.23684210526315788,0.21818181818181817,0.12195121951219512,0.15625,0.17273198511317336,0.04650847268962998,21,0.19121447028423771,0.21153846153846154,0.29955947136563876,0.2222222222222222,0.25296442687747034,0.2354998104576061,0.037736679578334584,0.5156165641540564,0.6230769230769231,0.4655033324658361,0.2802084170230866,0.4560256310827362,0.4680861735605276,0.11111386017968097,5,0.5974771280503175,0.5460579317214169,0.5665894519846446,0.5894357079701907,0.5679171048449705,0.573495464914308,0.01822548138628174
