,param_bootstrap,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,True,balanced,3,1,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.243419637878802,0.35303303463822355,0.283851677669238,0.18258915588102098,0.186480224610676,0.24987474613559213,0.06384974361909398,137,0.3100884834274465,0.3797316740046434,0.3444369226822342,0.36474750861902844,0.368583126697277,0.3535175430861259,0.02453081932991497,0.22641509433962265,0.3137254901960784,0.2777777777777778,0.18181818181818182,0.18604651162790697,0.2371566111519135,0.05158068753716488,138,0.256198347107438,0.36363636363636365,0.31016042780748665,0.3393939393939394,0.3333333333333333,0.3205444822557122,0.036397858954941985,0.5425192283570919,0.6025464920006798,0.5187656074248006,0.27531166421192,0.36639032580457964,0.4611066635598144,0.12120127969978349,109,0.5414214900452757,0.5310911236132279,0.5718366862898211,0.5982918848638474,0.6063488625584089,0.5697980094741163,0.02985120388532822
1,True,balanced,3,1,2,10,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",0.2900005314790647,0.45275450176259713,0.2598168845633596,0.33274622923322145,0.3137133672453323,0.32980630285671503,0.06613154083476927,89,0.3072472117071462,0.3783149531765837,0.37003562214807845,0.4663118338622513,0.45010878035231944,0.3944036802492758,0.0578320674655429,0.27906976744186046,0.43243243243243246,0.25,0.34782608695652173,0.3125,0.32436565736616296,0.06316895138286707,90,0.2679425837320574,0.37209302325581395,0.345679012345679,0.46846846846846846,0.43609022556390975,0.37805466267318577,0.07035790878904703,0.44479252502508315,0.6098991390036166,0.4862254437838778,0.4163971721828153,0.46384869164875125,0.4842325943288288,0.0668860507913779,64,0.5187193683569249,0.5326173670801331,0.617519667746105,0.6263785536553721,0.6031449163851981,0.5796759746447467,0.04493169842385002
2,True,balanced,3,1,2,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.3536410140745587,0.4069149931027247,0.2598168845633596,0.4418935050222759,0.3906804142793637,0.3705893622084565,0.062233866863143514,81,0.4146306351511184,0.4521312573886049,0.46746090928781375,0.45385245715803296,0.4686724354844457,0.4513495388940031,0.019569428085512226,0.35294117647058826,0.41379310344827586,0.25,0.45454545454545453,0.4,0.37425594689286373,0.07009451880762452,83,0.4,0.45714285714285713,0.4566929133858268,0.45,0.4628099173553719,0.4453291375768112,0.023025310862279855,0.55504321604266,0.6609854390460796,0.46556238940990713,0.46832928980290567,0.4750525719464905,0.5249945812496086,0.07567533129361217,4,0.5700760880665614,0.5627691423688103,0.6454295962301171,0.6549714660824807,0.623082989375671,0.6112658564247281,0.03811958645066157
3,True,balanced,3,1,10,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.2358998374788124,0.3639815744298312,0.283851677669238,0.13165806418402712,0.186480224610676,0.24037427567451694,0.0798909916922804,141,0.2725578885214059,0.3442894980689935,0.3444369226822342,0.35350314229036295,0.368583126697277,0.3366741156520547,0.03325822282470902,0.21818181818181817,0.32653061224489793,0.2777777777777778,0.14285714285714285,0.18604651162790697,0.2302787725379088,0.0652164744396718,141,0.2248062015503876,0.32679738562091504,0.31016042780748665,0.3312883435582822,0.3333333333333333,0.30527713837408094,0.04105185038768489,0.542079145581298,0.5997973238963946,0.5187656074248006,0.2620183720746596,0.36639032580457964,0.4578101549563465,0.12463482139139105,116,0.528976478313088,0.5226264440082321,0.5718366862898211,0.5868298317700492,0.6063488625584089,0.5633236605879198,0.03259500594385805
4,True,balanced,3,1,10,10,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 0}",0.3080894294959981,0.42903894464632625,0.2598168845633596,0.34814495889349945,0.3137133672453323,0.33176071696890314,0.056202221784144774,85,0.3017251228471881,0.32650697755391134,0.3902937903590242,0.4700668440137076,0.45010878035231944,0.3877403030252301,0.06606381457670825,0.3,0.3829787234042553,0.25,0.36363636363636365,0.3125,0.32182301740812375,0.047349941648713874,92,0.2616822429906542,0.30057803468208094,0.375,0.4727272727272727,0.43609022556390975,0.36921555519278354,0.07936608779690749,0.44321201641411523,0.6138218455705722,0.5085289475623506,0.36749268973406907,0.46384869164875125,0.47938083818597166,0.08123101101822698,75,0.5242687247164168,0.5348719761921512,0.6038176367941187,0.6178574501196303,0.6031449163851981,0.5767921408415031,0.03905692072380309
5,True,balanced,3,1,10,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.3536410140745587,0.4664164756269649,0.3055664517464865,0.4418935050222759,0.3906804142793637,0.3916395721499299,0.05825879421746688,75,0.4146306351511184,0.43374077083579105,0.5007970415314276,0.4753369099290303,0.4686724354844457,0.4586355585863626,0.03070325201783426,0.35294117647058826,0.4666666666666667,0.30303030303030304,0.45454545454545453,0.4,0.39543672014260245,0.06153566192558135,75,0.4,0.43636363636363634,0.5,0.47058823529411764,0.4628099173553719,0.45395235780262516,0.03375148638919681,0.5540336152172859,0.6534769689374952,0.4654960187921383,0.46809612994177635,0.4748004851725106,0.5231806436122414,0.07298150117355386,9,0.5701124499780412,0.5665055994011962,0.6336204686274491,0.6396415045167217,0.6228917454830137,0.6065543536012844,0.03170539248920452
6,True,balanced,3,2,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.243419637878802,0.35303303463822355,0.283851677669238,0.18258915588102098,0.29187437508705716,0.27095357623086835,0.05640472831754488,117,0.3100884834274465,0.3797316740046434,0.3444369226822342,0.36474750861902844,0.368583126697277,0.3535175430861259,0.02453081932991497,0.22641509433962265,0.3137254901960784,0.2777777777777778,0.18181818181818182,0.26666666666666666,0.25328064215966545,0.045302352825142334,120,0.256198347107438,0.36363636363636365,0.31016042780748665,0.3393939393939394,0.3333333333333333,0.3205444822557122,0.036397858954941985,0.5425192283570919,0.596735636189824,0.5187656074248006,0.27531166421192,0.39122986636936563,0.4649124005106004,0.11634251856544511,105,0.5414214900452757,0.525512245932485,0.5718366862898211,0.5982918848638474,0.5990284366417001,0.567218148754626,0.02967710333231543
7,True,balanced,3,2,2,10,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",0.2900005314790647,0.45275450176259713,0.2598168845633596,0.33274622923322145,0.3137133672453323,0.32980630285671503,0.06613154083476927,89,0.3072472117071462,0.3783149531765837,0.37003562214807845,0.4663118338622513,0.45010878035231944,0.3944036802492758,0.0578320674655429,0.27906976744186046,0.43243243243243246,0.25,0.34782608695652173,0.3125,0.32436565736616296,0.06316895138286707,90,0.2679425837320574,0.37209302325581395,0.345679012345679,0.46846846846846846,0.43609022556390975,0.37805466267318577,0.07035790878904703,0.44450816867091225,0.6068688359733136,0.4862254437838778,0.4163971721828153,0.42355883657628746,0.47551169143744126,0.07003474544656127,81,0.5185071561779657,0.5334897142839212,0.6169573662226011,0.6263785536553721,0.5953995144701497,0.578146460962002,0.04400309236196362
8,True,balanced,3,2,2,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.3536410140745587,0.3946732659031403,0.2598168845633596,0.4418935050222759,0.3906804142793637,0.3681410167685396,0.0609848864949993,82,0.4146306351511184,0.4445329590314088,0.46746090928781375,0.45385245715803296,0.46224820489793655,0.4485450331052621,0.01865496805666102,0.35294117647058826,0.4,0.25,0.45454545454545453,0.4,0.3714973262032085,0.0687426031158423,84,0.4,0.4485981308411215,0.4566929133858268,0.45,0.45528455284552843,0.44211511941449533,0.021278299350594887,0.5548820635421917,0.6562155598025163,0.46309807070894804,0.46832928980290567,0.4750525719464905,0.5235155111606103,0.07434730140847605,7,0.5642632694426989,0.5621698901271809,0.6431911012275815,0.6549714660824807,0.6184730584415942,0.6086137570643072,0.03889944541197281
9,True,balanced,3,2,10,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.2358998374788124,0.3639815744298312,0.283851677669238,0.13165806418402712,0.29187437508705716,0.2614531057697932,0.07673194755300049,124,0.2725578885214059,0.3442894980689935,0.3444369226822342,0.35350314229036295,0.368583126697277,0.3366741156520547,0.03325822282470902,0.21818181818181817,0.32653061224489793,0.2777777777777778,0.14285714285714285,0.26666666666666666,0.2464028035456607,0.062182966712633334,132,0.2248062015503876,0.32679738562091504,0.31016042780748665,0.3312883435582822,0.3333333333333333,0.30527713837408094,0.04105185038768489,0.542079145581298,0.5997973238963946,0.5187656074248006,0.2620183720746596,0.39122986636936563,0.4627780630693037,0.12134343214810864,107,0.528976478313088,0.5226264440082321,0.5718366862898211,0.5868298317700492,0.5990284366417001,0.5618595754045781,0.030741234079748752
10,True,balanced,3,2,10,10,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10, 'random_state': 0}",0.3080894294959981,0.42903894464632625,0.2598168845633596,0.34814495889349945,0.3137133672453323,0.33176071696890314,0.056202221784144774,85,0.3017251228471881,0.32650697755391134,0.3902937903590242,0.4700668440137076,0.45010878035231944,0.3877403030252301,0.06606381457670825,0.3,0.3829787234042553,0.25,0.36363636363636365,0.3125,0.32182301740812375,0.047349941648713874,92,0.2616822429906542,0.30057803468208094,0.375,0.4727272727272727,0.43609022556390975,0.36921555519278354,0.07936608779690749,0.44299211964440166,0.6138218455705722,0.5085289475623506,0.36749268973406907,0.42355883657628746,0.47127888781753613,0.08432672318161637,89,0.524004378231884,0.5324399960206095,0.6034869308683374,0.6178574501196303,0.5953995144701497,0.5746376539421221,0.03866692994429754
11,True,balanced,3,2,10,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.3536410140745587,0.4664164756269649,0.3055664517464865,0.4418935050222759,0.3906804142793637,0.3916395721499299,0.05825879421746688,75,0.4146306351511184,0.43374077083579105,0.5007970415314276,0.4753369099290303,0.46224820489793655,0.4573507124690607,0.030389164483850966,0.35294117647058826,0.4666666666666667,0.30303030303030304,0.45454545454545453,0.4,0.39543672014260245,0.06153566192558135,75,0.4,0.43636363636363634,0.5,0.47058823529411764,0.45528455284552843,0.4524472849006565,0.033489718803242786,0.5538987407672741,0.6543017489961463,0.4630178139538125,0.46809612994177635,0.4748004851725106,0.522822983766304,0.0736616801553839,11,0.5638344213892242,0.5646118400174989,0.6313603741143585,0.6396415045167217,0.6182818145489369,0.6035459909173481,0.03282239288477683
