Season,Name,death,min,max,mean,multiply,multiply_death,death_prediction,death_prediction_probability
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.03333333333333333
winter,CONTROL,True,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.03333333333333333
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.03437729983934747
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.03437729983934747
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.06232550154427681
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.06232550154427681
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.06232550154427681
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.06232550154427681
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.06232550154427681
summer,TOKYO,False,0.9895557,0.9925111,0.99126947,-0.2630744044502164,1.2630744044502165,False,0.06666666666666667
winter,TINA,True,0.9862603,0.9925595,0.9916123,-0.2527240248920671,1.252724024892067,False,0.06666666666666667
winter,TINA,True,0.9862603,0.9925668,0.9916206,-0.2524740774020053,1.2524740774020053,False,0.06666666666666667
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.06666666666666667
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.06666666666666667
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,1.2696833721405147,False,0.1432929161756516
