Season,Name,death,min,max,mean,multiply,multiply_death,death_prediction,death_prediction_probability
winter,CONTROL,False,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.28285879390279395
winter,CONTROL,True,0.9924225,0.9924225,0.9924224,-0.2281900150916011,1.2281900150916012,False,0.28285879390279395
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,1.2319235612306711,False,0.2839008759913364
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.2840807532432648
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,1.2325671827475964,False,0.2840807532432648
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.2889217250063527
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.2889217250063527
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.2889217250063527
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.2889217250063527
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,1.249797681880502,False,0.2889217250063527
winter,TINA,True,0.9862603,0.9925668,0.9916206,-0.2524740774020053,1.2524740774020053,False,0.28967804846048667
winter,TINA,True,0.9862603,0.9925595,0.9916123,-0.2527240248920671,1.252724024892067,False,0.28974874103388115
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.2923001588418557
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,1.2617210750659773,False,0.2923001588418557
summer,TOKYO,False,0.9895557,0.9925111,0.99126947,-0.2630744044502164,1.2630744044502165,False,0.29268508033699675
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,1.2696833721405147,False,0.2945691001709587
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,1.2696833721405147,False,0.2945691001709587
summer,JADE,False,0.9885067,0.9919763,0.9910296,-0.2703374799519576,1.2703374799519576,False,0.2947559505585172
summer,JADE,True,0.9885067,0.9919763,0.9909847,-0.2716993439881007,1.2716993439881006,False,0.29514519760502883
summer,JADE,True,0.9885067,0.9919763,0.99098325,-0.271742307653455,1.2717423076534549,False,0.2951574823112772
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.2960162094432741
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.2960162094432741
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.2960162094432741
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.2960162094432741
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,1.2747429901298182,False,0.2960162094432741
winter,ELEONORA,True,0.9812018,0.99257874,0.9906928,-0.2806322724886484,1.2806322724886483,False,0.29770578896144384
summer,ELOANE,False,0.98453295,0.9920266,0.9903977,-0.2895298857222801,1.2895298857222801,False,0.30026893296066326
summer,ELOANE,True,0.98453295,0.9920266,0.9903977,-0.2895298857222801,1.2895298857222801,False,0.30026893296066326
summer,ELOANE,False,0.98453295,0.9920266,0.9903977,-0.2895298857222801,1.2895298857222801,False,0.30026893296066326
winter,ELEONORA,False,0.9812018,0.99257874,0.99030215,-0.2925118637839847,1.2925118637839847,False,0.30113076744205736
winter,ELEONORA,False,0.9812018,0.99257874,0.99030215,-0.2925118637839847,1.2925118637839847,False,0.30113076744205736
winter,TOKYO,False,0.9836642,0.99256235,0.9901087,-0.2983564334071722,1.2983564334071722,False,0.3028240070015891
winter,TOKYO,False,0.9811559,0.99256235,0.9898056,-0.3075857973002919,1.307585797300292,False,0.30550878938221243
winter,TOKYO,False,0.97841066,0.99256235,0.9894427,-0.3186558249649416,1.3186558249649416,False,0.30874651946743803
winter,PISCES,True,0.97469723,0.9925325,0.98905253,-0.3307246097138139,1.330724609713814,False,0.31229788795922897
winter,PISCES,True,0.9695483,0.9925325,0.9887584,-0.3397949228936262,1.3397949228936261,False,0.3149815405846473
winter,GLORY,True,0.9724636,0.992555,0.98874307,-0.3402228963044721,1.3402228963044722,False,0.3151084734938275
