Season,Name,death,min,max,mean,multiply,min_death,max_death,mean_death,multiply_death,death_prediction,death_prediction_probability
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.9924225,0.9924225,0.9924224,-0.2281900150916011,0.007577500000000015,0.007577500000000015,0.007577599999999962,1.2281900150916012,False,0.03333333333333333
winter,CONTROL,True,0.9924225,0.9924225,0.9924224,-0.2281900150916011,0.007577500000000015,0.007577500000000015,0.007577599999999962,1.2281900150916012,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,CONTROL,False,0.992299,0.992299,0.99229884,-0.2319235612306711,0.007700999999999958,0.007700999999999958,0.007701159999999985,1.2319235612306711,False,0.03333333333333333
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,0.011734299999999975,0.007393399999999994,0.007721960000000028,1.2325671827475964,False,0.03435558700951709
winter,ELOANE,False,0.9882657,0.9926066,0.99227804,-0.2325671827475963,0.011734299999999975,0.007393399999999994,0.007721960000000028,1.2325671827475964,False,0.03435558700951709
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,0.008291999999999966,0.008291999999999966,0.008291900000000019,1.249797681880502,False,0.06236632067311408
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,0.008291999999999966,0.008291999999999966,0.008291900000000019,1.249797681880502,False,0.06236632067311408
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,0.008291999999999966,0.008291999999999966,0.008291900000000019,1.249797681880502,False,0.06236632067311408
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,0.008291999999999966,0.008291999999999966,0.008291900000000019,1.249797681880502,False,0.06236632067311408
summer,CONTROL,False,0.991708,0.991708,0.9917081,-0.2497976818805022,0.008291999999999966,0.008291999999999966,0.008291900000000019,1.249797681880502,False,0.06236632067311408
summer,TOKYO,False,0.9895557,0.9925111,0.99126947,-0.2630744044502164,0.010444299999999962,0.0074889000000000205,0.008730530000000014,1.2630744044502165,False,0.06666666666666667
winter,TINA,True,0.9862603,0.9925595,0.9916123,-0.2527240248920671,0.013739700000000021,0.007440499999999961,0.008387699999999998,1.252724024892067,False,0.06666666666666667
winter,TINA,True,0.9862603,0.9925668,0.9916206,-0.2524740774020053,0.013739700000000021,0.007433200000000029,0.008379400000000037,1.2524740774020053,False,0.06666666666666667
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,0.010444299999999962,0.0074632999999999505,0.008685770000000037,1.2617210750659773,False,0.06666666666666667
summer,TOKYO,False,0.9895557,0.9925367,0.99131423,-0.2617210750659773,0.010444299999999962,0.0074632999999999505,0.008685770000000037,1.2617210750659773,False,0.06666666666666667
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,0.02435799999999999,0.007422449999999969,0.008942800000000029,1.2696833721405147,False,0.1412075242008386
winter,VENICE,False,0.975642,0.99257755,0.9910572,-0.2696833721405148,0.02435799999999999,0.007422449999999969,0.008942800000000029,1.2696833721405147,False,0.1412075242008386
summer,JADE,False,0.9885067,0.9919763,0.9910296,-0.2703374799519576,0.01149330000000004,0.008023699999999967,0.008970400000000045,1.2703374799519576,False,0.1508995563671578
summer,JADE,True,0.9885067,0.9919763,0.9909847,-0.2716993439881007,0.01149330000000004,0.008023699999999967,0.009015299999999948,1.2716993439881006,False,0.1742845831919318
summer,JADE,True,0.9885067,0.9919763,0.99098325,-0.271742307653455,0.01149330000000004,0.008023699999999967,0.009016750000000018,1.2717423076534549,False,0.17453059608641291
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,0.009116299999999966,0.009116299999999966,0.009116499999999972,1.2747429901298182,False,0.19145458658522155
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,0.009116299999999966,0.009116299999999966,0.009116499999999972,1.2747429901298182,False,0.19145458658522155
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,0.009116299999999966,0.009116299999999966,0.009116499999999972,1.2747429901298182,False,0.19145458658522155
summer,CONTROL,False,0.9908837,0.9908837,0.9908835,-0.2747429901298181,0.009116299999999966,0.009116299999999966,0.009116499999999972,1.2747429901298182,False,0.19145458658522155
