,hidden_size,num_layers,lr,batch_size,split0_train_mcc,split0_train_f1,split0_train_auprc,split0_test_mcc,split0_test_f1,split0_test_auprc,split1_train_mcc,split1_train_f1,split1_train_auprc,split1_test_mcc,split1_test_f1,split1_test_auprc,split2_train_mcc,split2_train_f1,split2_train_auprc,split2_test_mcc,split2_test_f1,split2_test_auprc,split3_train_mcc,split3_train_f1,split3_train_auprc,split3_test_mcc,split3_test_f1,split3_test_auprc,split4_train_mcc,split4_train_f1,split4_train_auprc,split4_test_mcc,split4_test_f1,split4_test_auprc,mean_train_mcc,mean_train_f1,mean_train_auprc,mean_test_mcc,mean_test_f1,mean_test_auprc
39,32,1,0.001,16,0.5872791440571647,0.5573770491803278,0.4512380562598187,0.7340646971002934,0.7058823529411765,0.5781086651634746,0.0,0.0,0.2983768425700946,0.0,0.0,0.5046358217860959,0.6187421768701943,0.59375,0.46450346080607785,0.6278669185981051,0.5714285714285714,0.4571822306617382,0.5996540073548048,0.5714285714285714,0.512291264392988,0.4429030024106458,0.3333333333333333,0.2517352200041429,0.6318517905529382,0.5901639344262295,0.4668753996861641,0.589611228406161,0.5882352941176471,0.42460033837544287,0.4875054237670204,0.4625439110070257,0.4386570047430286,0.47888916930304104,0.4397759103641456,0.4432524551981789
40,32,1,0.001,32,0.5872791440571647,0.5573770491803278,0.44291910315511535,0.7340646971002934,0.7058823529411765,0.5792487892934957,0.0,0.0,0.05729420122420801,0.0,0.0,0.1441221016531366,0.37386840957986717,0.25,0.47008421986535165,0.5430947643615459,0.46153846153846156,0.4622437017722456,0.6554089711354643,0.6363636363636364,0.5038279521697914,0.4429030024106458,0.3333333333333333,0.26292395275865527,0.6318517905529382,0.5901639344262295,0.46830035453816427,0.589611228406161,0.5882352941176471,0.5171129913413259,0.44968166306508695,0.4067809239940388,0.38848516619052614,0.4619347384557292,0.4177978883861237,0.39313030736377186
41,32,1,0.001,64,0.5667637713946232,0.5333333333333333,0.4384744622124467,0.5979153269699897,0.5333333333333333,0.5734483832860836,0.0,0.0,0.3920568386041417,0.0,0.0,0.5542714182769788,0.0,0.0,0.4323077242055086,0.0,0.0,0.43166856204403753,0.3411914645971517,0.2127659574468085,0.5062714408681758,0.31280487520521977,0.18181818181818182,0.25712350411168283,0.433674895112301,0.34615384615384615,0.4680695697871657,0.30625782459736417,0.2857142857142857,0.34761394450644495,0.2683260262208152,0.2184506273867976,0.44743600713548776,0.2433956053545147,0.20017316017316017,0.43282516244504554
42,32,1,0.01,16,0.5872791440571647,0.5573770491803278,0.4536376420048169,0.7340646971002934,0.7058823529411765,0.5814970122677763,0.6032463185720012,0.5666666666666667,0.4642208378762596,0.6773786076528916,0.6666666666666666,0.4807628647879671,0.6187421768701943,0.59375,0.5093119904567558,0.6278669185981051,0.5714285714285714,0.4289225754278609,0.6554089711354643,0.6363636363636364,0.5277998714546291,0.4429030024106458,0.3333333333333333,0.2718299854657924,0.0,0.0,0.47178230331809684,0.0,0.0,0.41626661066959575,0.4929353221269649,0.47083147044212614,0.4853505290221117,0.49644264515238723,0.45546218487394957,0.4358558097237985
43,32,1,0.01,32,0.5872791440571647,0.5573770491803278,0.40025170283202627,0.7340646971002934,0.7058823529411765,0.5745220872618069,0.6032463185720012,0.5666666666666667,0.4361055745244202,0.6773786076528916,0.6666666666666666,0.47437729766464654,0.6187421768701943,0.59375,0.4704120228330805,0.6278669185981051,0.5714285714285714,0.44082731305021666,0.0,0.0,0.47365785651053477,0.0,0.0,0.25658682488799883,0.6318517905529382,0.5901639344262295,0.43890111780243946,0.589611228406161,0.5882352941176471,0.4196081362167722,0.48822388601045963,0.46159153005464476,0.44386565490050023,0.5257842903514902,0.5064425770308123,0.4331843318162882
44,32,1,0.01,64,0.5872791440571647,0.5573770491803278,0.4448570235113378,0.7340646971002934,0.7058823529411765,0.5787319567994027,0.6032463185720012,0.5666666666666667,0.4770813455369478,0.6773786076528916,0.6666666666666666,0.5054520498196386,0.6187421768701943,0.59375,0.4171056641900498,0.6278669185981051,0.5714285714285714,0.4581280001997481,0.6554089711354643,0.6363636363636364,0.47310345790300506,0.4429030024106458,0.3333333333333333,0.27458713122932726,0.6318517905529382,0.5901639344262295,0.4716330668188988,0.589611228406161,0.5882352941176471,0.4143487783693969,0.6193056802375525,0.5888642573273721,0.4567561115920479,0.6143648908336194,0.573109243697479,0.4462495832835027
45,32,2,0.0001,16,0.0,0.0,0.12943664641911634,0.0,0.0,0.13176116054599524,0.0,0.0,0.3097499078836873,0.0,0.0,0.3772942620446124,0.0,0.0,0.25633362883951993,0.0,0.0,0.20778567662897962,0.0,0.048894062863795114,0.2690489756857791,0.0,0.046620046620046623,0.1586591094203721,0.0,0.0,0.41650589450262504,0.0,0.0,0.5105249256815745,0.0,0.009778812572759022,0.2762150106661455,0.0,0.009324009324009324,0.2772050268643068
46,32,2,0.0001,32,0.27202345544727635,0.25,0.16344365770613117,0.34014349011637685,0.2857142857142857,0.2581700560260182,0.15688798760239814,0.13411078717201166,0.13944998346590046,0.26431266877777404,0.2,0.3156015849866118,0.0,0.0,0.05886774591146391,0.0,0.0,0.060322429082856226,0.0,0.0,0.022025880002034186,0.0,0.0,0.0270996742571243,0.3794552904927723,0.36065573770491804,0.2532120593614746,0.21603703907316343,0.16666666666666666,0.2436269032672244,0.16167334670848937,0.14895330497538595,0.1273998652894009,0.16409863959346285,0.13047619047619047,0.18096412952396698
47,32,2,0.0001,64,0.0,0.0,0.02014454990767858,0.0,0.0,0.051430880675604654,0.0,0.047757716948165406,0.026389400427469168,0.0,0.05116279069767442,0.025186130379384393,0.252034767001699,0.26666666666666666,0.17050533330770082,0.34561408795956206,0.35294117647058826,0.2362511747662133,0.0852565337347537,0.08494208494208494,0.08331960614341491,0.1325466877944486,0.10909090909090909,0.09737183267779277,0.07693276592676113,0.07259073842302878,0.23235407904452615,0.016891027476772128,0.050761421319796954,0.2223273267316772,0.08284481333264278,0.09439144139598915,0.10654259376615793,0.09901036064615655,0.11279125951579376,0.12651346904613447
48,32,2,0.001,16,0.5872791440571647,0.5573770491803278,0.4576923414340249,0.7340646971002934,0.7058823529411765,0.5798729114635588,0.6032463185720012,0.5666666666666667,0.46788826183844745,0.6773786076528916,0.6666666666666666,0.5537785068617872,0.6187421768701943,0.59375,0.4935959993936872,0.6278669185981051,0.5714285714285714,0.45715663578506605,0.5996540073548048,0.5714285714285714,0.5464652145883899,0.4429030024106458,0.3333333333333333,0.24351021740041895,0.6318517905529382,0.5901639344262295,0.4877864103473293,0.589611228406161,0.5882352941176471,0.4692711962548949,0.6081546874814207,0.575877244340359,0.4906856455203757,0.6143648908336194,0.573109243697479,0.4607178935531452
